custom_regions,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
European Union,2020-01-27,447045744,-0.11359138242903953,-0.11359138242903953,-0.11359138242903953,-0.11359138242903953,-0.11359138242903953,-0.11359138242903953,-0.11359138242903953,-3.0669673255840673,-0.11359138242903953,0
North America,2020-01-27,370982987,-0.05257328028407066,-0.05257328028407066,-0.05257328028407066,-0.05257328028407066,-0.05257328028407066,-0.05257328028407066,-0.05257328028407066,-0.10514656056814133,-0.05257328028407066,0
Latin America and Caribbean,2020-02-03,655805524,0.007546949859341958,0.007546949859341958,0.007546949859341958,0.007546949859341958,0.006834993141812294,0.006301458012571183,0.005257306533562672,0.3399208982534222,0.007389584744639613,0
Asia,2020-02-03,4678110154,0.027217514271725817,0.03325221909517943,0.027217514271725817,0.027217514271725817,0.019794659224385135,0.01850710850347099,-0.006068389380863201,0.7138549861544191,0.01427709972308838,0.0010474315137300207
Oceania,2020-02-03,43202462,-0.04635167600782737,-0.033777518702720756,-0.04635167600782737,-0.04635167600782737,-0.04644911575981933,-0.047588031212750286,-0.053115103994862585,-0.6455388120681415,-0.030739943431816262,0
European Union,2020-02-03,447045744,-0.17342133366751097,-0.17342133366751097,-0.17342133366751097,-0.17342133366751097,-0.17342133366751097,-0.17342133366751097,-0.17342133366751097,-4.6823760090227955,-0.17342133366751097,0
North America,2020-02-03,370982987,-0.03472494544539331,-0.03472494544539331,-0.03472494544539331,-0.03472494544539331,-0.03472494544539331,-0.03472494544539331,-0.03472494544539331,-0.06944989089078663,-0.03472494544539331,0
Latin America and Caribbean,2020-02-10,655805524,-0.0025440894140143417,-0.002409066846551019,-0.0025440894140143417,-0.0025440894140143417,-0.0026931808406707235,-0.003479784068811975,-0.0050663599625868005,-0.1278477112943699,-0.0027792980716167368,0
Asia,2020-02-10,4678110154,-0.004144963492473423,-5.456696228642884e-4,-0.004144963492473423,-0.004144963492473423,-0.016334959083045338,-0.016334959083045338,-0.040852818048013696,-0.9556062816293515,-0.019112125632587032,0.001792540090752211
Oceania,2020-02-10,43202462,-0.011452298725393857,0.01864528854941348,0.01864528854941348,0.01864528854941348,-0.011452298725393857,-0.011452298725393857,-0.0119133025180819,0.08879433774169697,0.004228301797223665,0
European Union,2020-02-10,447045744,-0.15287374002860624,-0.15287374002860624,-0.15287374002860624,-0.15287374002860624,-0.15287374002860624,-0.15287374002860624,-0.15287374002860624,-4.127590980772368,-0.15287374002860624,0
North America,2020-02-10,370982987,-0.05047460876582196,-0.05047460876582196,-0.05047460876582196,-0.05047460876582196,-0.05047460876582196,-0.05047460876582196,-0.05047460876582196,-0.10094921753164392,-0.05047460876582196,0
Latin America and Caribbean,2020-02-17,655805524,-0.007507306120367651,-0.007283024593887982,-0.007283024593887982,-0.007283024593887982,-0.007507306120367651,-0.00844911217573508,-0.01005025457857511,-0.36028740952301563,-0.007832334989630775,0
Asia,2020-02-17,4678110154,-0.015525498971388982,-0.015525498971388982,-0.015525498971388982,-0.015525498971388982,-0.039861045539389926,-0.039861045539389926,-0.05681732849762985,-1.7785182681411424,-0.03557036536282285,0.0026078907076543373
Oceania,2020-02-17,43202462,-0.020404030234232734,-0.008168875563959946,-0.016541154727671745,-0.017714895933474858,-0.020404030234232734,-0.020404030234232734,-0.021817285462803027,-0.1313320059838066,-0.006253905046847934,0
European Union,2020-02-17,447045744,-0.2360653970114232,-0.2360653970114232,-0.2360653970114232,-0.2360653970114232,-0.2360653970114232,-0.2360653970114232,-0.2360653970114232,-6.373765719308426,-0.2360653970114232,3.198777796663242e-5
North America,2020-02-17,370982987,-0.02496323480546966,-0.02496323480546966,-0.02496323480546966,-0.02496323480546966,-0.02496323480546966,-0.02496323480546966,-0.02496323480546966,-0.04992646961093932,-0.02496323480546966,0
Latin America and Caribbean,2020-02-24,655805524,-0.01797131985135529,-0.01797131985135529,-0.01797131985135529,-0.01797131985135529,-0.020222729274018084,-0.020222729274018084,-0.021137130483761594,-0.8409904916790996,-0.018282401993023906,0
