custom_regions,date,population,estimated_daily_excess_deaths,estimated_daily_excess_deaths_ci_95_top,estimated_daily_excess_deaths_ci_90_top,estimated_daily_excess_deaths_ci_50_top,estimated_daily_excess_deaths_ci_50_bot,estimated_daily_excess_deaths_ci_90_bot,estimated_daily_excess_deaths_ci_95_bot,estimated_daily_excess_deaths_raw_estimate,daily_excess_deaths,daily_covid_deaths
North America,2020-02-03,370982987,-96.04980775575642,-96.04980775575642,-96.04980775575642,-96.04980775575642,-96.04980775575642,-96.04980775575642,-96.04980775575642,-192.09961551151284,-96.04980775575642,0
Latin America and Caribbean,2020-02-10,655805524,-17.409315654832223,-6.3252878830097545,-6.3252878830097545,-13.268140890581405,-27.06492167448154,-38.434049858440254,-38.434049858440254,-838.4323529760496,-18.226790282088036,0
Asia,2020-02-10,4678110154,-432.3878123215695,407.2819263184668,407.2819263184668,0.5512952079919425,-1525.5322738598727,-2450.7713396389145,-2450.7713396389145,-44704.31449316453,-894.0862898632906,83.857
Oceania,2020-02-10,43202462,-5.231341164441953,10.209055201654351,10.209055201654351,4.026100321062676,-7.22874051212669,-17.634996354497805,-17.634996354497805,38.36134002100829,1.8267304771908708,0
European Union,2020-02-10,447045744,-683.4155484915085,-683.4155484915085,-683.4155484915085,-683.4155484915085,-683.4155484915085,-683.4155484915085,-683.4155484915085,-18452.21980927073,-683.4155484915085,0
North America,2020-02-10,370982987,-100.38314108908688,-100.38314108908688,-100.38314108908688,-100.38314108908688,-100.38314108908688,-100.38314108908688,-100.38314108908688,-200.76628217817375,-100.38314108908688,0
Latin America and Caribbean,2020-02-17,655805524,-49.34590144619602,-40.03695705526007,-40.03695705526007,-46.83450798268636,-61.05622178209414,-67.33864154479262,-67.33864154479262,-2362.7847339284385,-51.36488552018344,0
Asia,2020-02-17,4678110154,-1071.240837313536,-60.72852635952732,-60.72852635952732,-704.8489408009651,-2245.488548473208,-2925.9502162023464,-2925.9502162023464,-83201.04369265573,-1664.0208738531146,122
Oceania,2020-02-17,43202462,-8.82195901721926,2.2145503416002725,2.2145503416002725,-2.345345304060842,-10.923864023733495,-22.108378757473965,-22.108378757473965,-56.73865997899178,-2.701840951380561,0
European Union,2020-02-17,447045744,-1055.3203103962705,-1055.3203103962705,-1055.3203103962705,-1055.3203103962705,-1055.3203103962705,-1055.3203103962705,-1055.3203103962705,-28493.648380699306,-1055.3203103962705,0.143
North America,2020-02-17,370982987,-12.335522041455281,-12.335522041455281,-12.335522041455281,-12.335522041455281,-12.335522041455281,-12.335522041455281,-12.335522041455281,-24.671044082910562,-12.335522041455281,0
Latin America and Caribbean,2020-02-24,655805524,-126.56961700413156,-111.8825139618895,-111.8825139618895,-120.63172671909649,-129.4178055876005,-141.1004749229575,-141.1004749229575,-5515.262100746296,-119.89700219013687,0
Asia,2020-02-24,4678110154,-895.4113032694279,-323.54683625810475,-323.54683625810475,-730.0464529226055,-2216.75067219145,-2642.8763612893326,-2642.8763612893326,-73450.68369580919,-1469.0136739161837,107.429
Oceania,2020-02-24,43202462,-4.703214801342535,8.286445078310518,8.286445078310518,2.4331664125776746,-6.347849937540078,-16.74849878332506,-16.74849878332506,52.22097485242074,2.4867130882105113,0
European Union,2020-02-24,447045744,-1032.8754996685977,-1032.8754996685977,-1032.8754996685977,-1032.8754996685977,-1032.8754996685977,-1032.8754996685977,-1032.8754996685977,-27887.638491052137,-1032.8754996685977,1
North America,2020-02-24,370982987,127.49817913564286,127.49817913564286,127.49817913564286,127.49817913564286,127.49817913564286,127.49817913564286,127.49817913564286,254.99635827128571,127.49817913564286,0
Latin America and Caribbean,2020-03-02,655805524,61.24338981923592,109.8070465571779,109.8070465571779,97.33951188291368,61.24338981923592,60.293345218661315,60.293345218661315,3848.873462862354,83.67116223613813,0
Asia,2020-03-02,4678110154,-3639.273136807261,-3583.7845529980927,-3583.7845529980927,-3639.273136807261,-5056.500414019602,-5917.601083512561,-5917.601083512561,-124155.27497681389,-2483.105499536278,56.856
Oceania,2020-03-02,43202462,-21.66119684398367,-9.63554805868443,-9.63554805868443,-15.136560485014313,-23.79700451635575,-33.17036828582007,-33.17036828582007,-300.69571344321344,-14.318843497295877,0.143
European Union,2020-03-02,447045744,-585.8685564895274,-585.8685564895274,-585.8685564895274,-585.8685564895274,-585.8685564895274,-585.8685564895274,-585.8685564895274,-15818.451025217239,-585.8685564895274,6.715
North America,2020-03-02,370982987,168.0444555409197,168.0444555409197,168.0444555409197,168.0444555409197,168.0444555409197,168.0444555409197,168.0444555409197,336.0889110818394,168.0444555409197,0.857
Latin America and Caribbean,2020-03-09,655805524,72.18854339785277,129.93301331778008,129.93301331778008,108.3095654857303,72.18854339785277,64.99808602076364,64.99808602076364,3989.9401295289917,86.73782890280417,0.143
Asia,2020-03-09,4678110154,-1672.0124425404335,-1070.696204852835,-1070.696204852835,-1672.0124425404335,-2886.1265376885895,-3601.098035466431,-3601.098035466431,-31352.855477280405,-627.0571095456081,59.285
Oceania,2020-03-09,43202462,-20.195192851746754,-7.5126436522681335,-7.5126436522681335,-13.292751665959026,-22.529769695608184,-31.018280037382812,-31.018280037382812,-257.07571344321445,-12.24170064015307,0.286
European Union,2020-03-09,447045744,655.1028720818988,655.1028720818988,655.1028720818988,655.1028720818988,655.1028720818988,655.1028720818988,655.1028720818988,17687.777546211266,655.1028720818988,66.572
North America,2020-03-09,370982987,130.2349317313724,130.2349317313724,130.2349317313724,130.2349317313724,130.2349317313724,130.2349317313724,130.2349317313724,260.4698634627448,130.2349317313724,2.429
Latin America and Caribbean,2020-03-16,655805524,-28.202205795886908,22.20829601819453,22.20829601819453,4.351229768666861,-38.386907123149236,-60.79922349552607,-60.79922349552607,-101.97891808977128,-2.2169330019515496,1.001
Asia,2020-03-16,4678110154,-1093.468609622345,-768.7257508400281,-768.7257508400281,-1093.468609622345,-2806.1948230261482,-4325.436468850108,-4325.436468850108,-45581.12669790566,-911.6225339581132,111.286
Oceania,2020-03-16,43202462,-5.302312916712472,7.363599928431741,7.363599928431741,1.7800829785834749,-6.49639450851629,-16.315703382124756,-16.315703382124756,55.944286556783574,2.6640136455611225,0
European Union,2020-03-16,447045744,2445.7885863676274,2445.7885863676274,2445.7885863676274,2445.7885863676274,2445.7885863676274,2445.7885863676274,2445.7885863676274,66036.29183192595,2445.7885863676274,314.715
North America,2020-03-16,370982987,287.04445554098345,287.04445554098345,287.04445554098345,287.04445554098345,287.04445554098345,287.04445554098345,287.04445554098345,574.0889110819669,287.04445554098345,11.143
Latin America and Caribbean,2020-03-23,655805524,343.7545133883134,400.3364260377801,400.3364260377801,380.8712704905474,343.7545133883134,324.91899374863334,324.91899374863334,17636.278224767084,383.3973527123279,15.716000000000001
Asia,2020-03-23,4678110154,-964.100647108438,-309.00739539092194,-309.00739539092194,-964.100647108438,-2133.6829810363815,-3333.6061056121907,-3333.6061056121907,33465.38579387181,669.3077158774362,174.431
Oceania,2020-03-23,43202462,4.530219914525457,16.901747443431354,16.901747443431354,11.149172051912553,2.051860590948775,-7.248929944009395,-7.248929944009395,249.98428655678316,11.904013645561102,0.571
European Union,2020-03-23,447045744,4344.737157796189,4344.737157796189,4344.737157796189,4344.737157796189,4344.737157796189,4344.737157796189,4344.737157796189,117307.90326049711,4344.737157796189,1023
North America,2020-03-23,370982987,971.9015983980966,971.9015983980966,971.9015983980966,971.9015983980966,971.9015983980966,971.9015983980966,971.9015983980966,1943.803196796193,971.9015983980966,102.571
Latin America and Caribbean,2020-03-30,655805524,813.8014097540334,862.2115623652963,862.2115623652963,844.7302282169944,811.6274364787034,764.8408240893046,764.8408240893046,39262.84965333867,853.5402098551884,54.143
Asia,2020-03-30,4678110154,-3145.519546083227,-2302.103649612213,-2302.103649612213,-2977.0719560752595,-4771.8177108918835,-6074.416715527154,-6074.416715527154,-14183.076139959456,-283.66152279918913,209.148
Oceania,2020-03-30,43202462,19.428567016995707,31.732469426182032,31.732469426182032,25.729861789939573,14.440099570916066,9.760512831565654,9.760512831565654,562.8242865567862,26.801156502704103,1.572
European Union,2020-03-30,447045744,5162.274300653334,5162.274300653334,5162.274300653334,5162.274300653334,5162.274300653334,5162.274300653334,5162.274300653334,139381.40611764,5162.274300653334,2203.57
North America,2020-03-30,370982987,2368.187312683766,2368.187312683766,2368.187312683766,2368.187312683766,2368.187312683766,2368.187312683766,2368.187312683766,4736.374625367532,2368.187312683766,512.2850000000001
Latin America and Caribbean,2020-04-06,655805524,869.425205411062,925.9324915217915,925.9324915217915,894.1744325600512,860.6242732228325,808.5255267736986,808.5255267736986,42096.02427699459,915.1309625433606,158.286
Asia,2020-04-06,4678110154,-2894.377327062336,-2411.2631747088085,-2411.2631747088085,-2754.354863991213,-4423.921859698162,-5810.60813081626,-5810.60813081626,-16615.384511695145,-332.3076902339029,292.289
Oceania,2020-04-06,43202462,2.8879501557937695,17.448817338582018,17.448817338582018,8.657104179580765,1.782243002473122,-11.551896419043546,-11.551896419043546,238.79912526646177,11.371386917450561,3.286
European Union,2020-04-06,447045744,4499.513870545813,4499.513870545813,4499.513870545813,4499.513870545813,4499.513870545813,4499.513870545813,4499.513870545813,121486.87450473694,4499.513870545813,2972.429
North America,2020-04-06,370982987,3463.139693636166,3463.139693636166,3463.139693636166,3463.139693636166,3463.139693636166,3463.139693636166,3463.139693636166,6926.279387272332,3463.139693636166,1519.7150000000001
Latin America and Caribbean,2020-04-13,655805524,878.2136666587501,927.2875486043937,927.2875486043937,904.5223236078439,856.7134087015233,821.5536890955743,821.5536890955743,42495.78618175646,923.8214387338362,295.576
Asia,2020-04-13,4678110154,-2881.275578488945,-2029.1454446984962,-2029.1454446984962,-2881.275578488945,-4777.598420734994,-6461.318362480763,-6461.318362480763,-19967.38451169516,-399.3476902339032,345.145
Oceania,2020-04-13,43202462,-19.45200527932878,-6.522277727326035,-6.522277727326035,-15.438217498239936,-22.619610881178424,-32.236446833895656,-32.236446833895656,-224.34087473353853,-10.682898796835168,3.5709999999999997
European Union,2020-04-13,447045744,3049.628156260092,3049.628156260092,3049.628156260092,3049.628156260092,3049.628156260092,3049.628156260092,3049.628156260092,82339.96021902248,3049.628156260092,2957.858
North America,2020-04-13,370982987,3334.2825507790085,3334.2825507790085,3334.2825507790085,3334.2825507790085,3334.2825507790085,3334.2825507790085,3334.2825507790085,6668.565101558017,3334.2825507790085,2262.714
Latin America and Caribbean,2020-04-20,655805524,1145.8890658475575,1187.6071718980402,1187.6071718980402,1163.3561576760565,1131.9561330003833,1085.7743876978468,1085.7743876978468,54537.49094366117,1185.5976292100254,451.431
Asia,2020-04-20,4678110154,-2426.685405349884,-2156.809782698078,-2156.809782698078,-2426.685405349884,-4820.583246539571,-6657.552505078863,-6657.552505078863,-27695.81308312372,-553.9162616624744,542.717
Oceania,2020-04-20,43202462,-20.010529172982682,-4.115368336813169,-4.115368336813169,-9.596618457476177,-20.14503852895305,-30.650999268146478,-30.650999268146478,-133.32087473353673,-6.348613082549368,1.857
European Union,2020-04-20,447045744,1671.6567276886562,1671.6567276886562,1671.6567276886562,1671.6567276886562,1671.6567276886562,1671.6567276886562,1671.6567276886562,45134.73164759372,1671.6567276886562,2639.714
North America,2020-04-20,370982987,3014.7587412552225,3014.7587412552225,3014.7587412552225,3014.7587412552225,3014.7587412552225,3014.7587412552225,3014.7587412552225,6029.517482510445,3014.7587412552225,2369.715
Latin America and Caribbean,2020-04-27,655805524,1402.8734256458777,1459.0329245981304,1459.0329245981304,1436.0391565170116,1395.41432084553,1363.88030156236,1363.88030156236,66769.87665794702,1451.5190577814571,721.716
Asia,2020-04-27,4678110154,-2197.9719657172604,-1679.6301483991463,-1679.6301483991463,-2197.9719657172604,-4571.782985014527,-6763.287966576903,-6763.287966576903,-25035.38451169506,-500.70769023390125,352.288
Oceania,2020-04-27,43202462,-45.44390927887703,-31.08871808883696,-31.08871808883696,-34.974390595062616,-46.10832838769565,-63.70893878279773,-63.70893878279773,-661.3808747335404,-31.49432736826383,3.286
European Union,2020-04-27,447045744,892.7052991172436,892.7052991172436,892.7052991172436,892.7052991172436,892.7052991172436,892.7052991172436,892.7052991172436,24103.043076165577,892.7052991172436,2009
North America,2020-04-27,370982987,2360.6158841123656,2360.6158841123656,2360.6158841123656,2360.6158841123656,2360.6158841123656,2360.6158841123656,2360.6158841123656,4721.231768224731,2360.6158841123656,2202.714
Latin America and Caribbean,2020-05-04,655805524,2694.7539119952457,2714.106818828449,2714.106818828449,2694.7539119952457,2647.1864205777642,2614.817739665663,2614.817739665663,123448.57315564272,2683.66463381832,1082.573
Asia,2020-05-04,4678110154,608.0326331504489,2658.01660726682,2658.01660726682,1392.2422955866873,-736.8761628006365,-2761.4851075925817,-2761.4851075925817,-7480.297338115992,-149.60594676231983,358.288
Oceania,2020-05-04,43202462,-34.301725247290975,-19.635181912973486,-19.635181912973486,-23.59793657422154,-34.301725247290975,-45.93336180048071,-45.93336180048071,-415.65184247547705,-19.79294487978462,2
European Union,2020-05-04,447045744,543.0754988100225,543.0754988100225,543.0754988100225,543.0754988100225,543.0754988100225,543.0754988100225,543.0754988100225,14663.038467870607,543.0754988100225,1372.574
North America,2020-05-04,370982987,2089.0444555409513,2089.0444555409513,2089.0444555409513,2089.0444555409513,2089.0444555409513,2089.0444555409513,2089.0444555409513,4178.088911081903,2089.0444555409513,2055.286
Latin America and Caribbean,2020-05-11,655805524,2948.8256234415016,2975.0228612813617,2975.0228612813617,2948.8256234415016,2902.0870382002404,2878.4857997910667,2878.4857997910667,135134.21601278556,2937.700348104034,1418.142
Asia,2020-05-11,4678110154,765.8810571693922,3259.4939075860457,3259.4939075860457,1690.05561263702,172.81316148282502,-2584.289793358488,-2584.289793358488,-8844.154480973135,-176.88308961946268,347.573
Oceania,2020-05-11,43202462,-51.3184217379514,-38.003527391408774,-38.003527391408774,-41.323831362448935,-51.38155998152445,-63.08940069830674,-63.08940069830674,-796.7718424754787,-37.94151630835613,0.286
European Union,2020-05-11,447045744,383.90407023859603,383.90407023859603,383.90407023859603,383.90407023859603,383.90407023859603,383.90407023859603,383.90407023859603,10365.409896442094,383.90407023859603,1069.143
North America,2020-05-11,370982987,1768.9492174456661,1768.9492174456661,1768.9492174456661,1768.9492174456661,1768.9492174456661,1768.9492174456661,1768.9492174456661,3537.8984348913323,1768.9492174456661,1824.7150000000001
Latin America and Caribbean,2020-05-18,655805524,3158.2839707455933,3197.8523857918167,3197.8523857918167,3163.0803448378692,3114.2173112965415,3106.2670329632474,3106.2670329632474,145094.85886992834,3154.2360623897466,1676.146
Asia,2020-05-18,4678110154,1756.440527082589,5698.94056292777,5698.94056292777,2301.9895889705786,371.6192894809507,-2948.522697609729,-2948.522697609729,-6137.440195258891,-122.74880390517782,372.857
Oceania,2020-05-18,43202462,-49.84247043578148,-35.38974601645753,-35.38974601645753,-38.36354077801518,-50.94146841553517,-62.80227023617088,-62.80227023617088,-759.331842475472,-36.15865916549866,0.286
European Union,2020-05-18,447045744,268.4469273814435,268.4469273814435,268.4469273814435,268.4469273814435,268.4469273814435,268.4469273814435,268.4469273814435,7248.067039298975,268.4469273814435,831.86
North America,2020-05-18,370982987,1389.1396936361825,1389.1396936361825,1389.1396936361825,1389.1396936361825,1389.1396936361825,1389.1396936361825,1389.1396936361825,2778.279387272365,1389.1396936361825,1544.857
Latin America and Caribbean,2020-05-25,655805524,3308.235374471657,3352.489334870671,3352.489334870671,3320.4302599743237,3274.2032589871455,3244.654157805932,3244.654157805932,152028.37315564265,3304.9646338183184,2006.43
Asia,2020-05-25,4678110154,7059.248063718248,16499.026510378477,16499.026510378477,7059.248063718248,1054.2737234334495,-2813.5975203849534,-2813.5975203849534,-10212.725909544635,-204.2545181908927,381.715
Oceania,2020-05-25,43202462,-58.89818020187145,-44.671461768509175,-44.671461768509175,-48.33264866387361,-60.48187233536882,-72.47606357553704,-72.47606357553704,-963.4518424754718,-45.87865916549866,0.429
European Union,2020-05-25,447045744,31.49264166715318,31.49264166715318,31.49264166715318,31.49264166715318,31.49264166715318,31.49264166715318,31.49264166715318,850.3013250131359,31.49264166715318,237.574
North America,2020-05-25,370982987,1142.0444555409638,1142.0444555409638,1142.0444555409638,1142.0444555409638,1142.0444555409638,1142.0444555409638,1142.0444555409638,2284.0889110819276,1142.0444555409638,1188.429
Latin America and Caribbean,2020-06-01,655805524,3399.6719395390523,3457.450100938647,3457.450100938647,3438.6914720008936,3378.7984349693793,3333.121949812281,3333.121949812281,154003.44427699444,3347.9009625433578,2033.286
Asia,2020-06-01,4678110154,7642.640976088807,16643.934536078752,16643.934536078752,9701.63612476292,5010.300373107516,2678.003744784847,2678.003744784847,18298.198821638136,365.9639764327627,499.858
Oceania,2020-06-01,43202462,-72.77072312225894,-57.3263792238832,-57.3263792238832,-60.41069908141674,-75.3955728083655,-85.5854291178484,-85.5854291178484,-1277.4608747335365,-60.8314702254065,0.143
European Union,2020-06-01,447045744,216.9119657838973,216.9119657838973,216.9119657838973,216.9119657838973,216.9119657838973,216.9119657838973,216.9119657838973,5856.623076165227,216.9119657838973,370.717
North America,2020-06-01,370982987,916.4730269694941,916.4730269694941,916.4730269694941,916.4730269694941,916.4730269694941,916.4730269694941,916.4730269694941,1832.9460539389881,916.4730269694941,1030.714
Latin America and Caribbean,2020-06-08,655805524,3580.0689125511735,3642.1424439241055,3642.1424439241055,3622.716057492044,3555.661512830641,3498.2785915317877,3498.2785915317877,162197.35856270875,3526.029533971929,2523.286
Asia,2020-06-08,4678110154,10502.752294220927,11925.879503026377,11925.879503026377,10502.752294220927,4766.903069113535,3331.3031271274276,3331.3031271274276,21113.198821638136,422.2639764327627,627.432
Oceania,2020-06-08,43202462,-62.915720937979266,-46.73514805802133,-46.73514805802133,-50.82218830935174,-66.03389784676709,-75.16747075755953,-75.16747075755953,-1075.5008747335366,-51.214327368263646,0
European Union,2020-06-08,447045744,117.82625149818452,117.82625149818452,117.82625149818452,117.82625149818452,117.82625149818452,117.82625149818452,117.82625149818452,3181.308790450982,117.82625149818452,259.572
North America,2020-06-08,370982987,823.806360302821,823.806360302821,823.806360302821,823.806360302821,823.806360302821,823.806360302821,823.806360302821,1647.612720605642,823.806360302821,834.571
Latin America and Caribbean,2020-06-15,655805524,3600.1613045370727,3668.9183551427004,3668.9183551427004,3655.840961011865,3566.951825652856,3503.3758399177104,3503.3758399177104,162265.8109436611,3527.517629210024,2430.143
Asia,2020-06-15,4678110154,10006.486771084625,11885.995578530132,11885.995578530132,10006.486771084625,4846.14437652172,3909.854410181469,3909.854410181469,16145.770250209529,322.9154050041906,786.999
Oceania,2020-06-15,43202462,-78.69310160903657,-64.39308123378406,-64.39308123378406,-66.59896691344464,-81.11004835835887,-92.68421456553442,-92.68421456553442,-1414.3208747335295,-67.34861308254902,0
