world,date,population,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_50_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_90_bot_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_raw_estimate_per_100k,cumulative_daily_excess_deaths_per_100k,cumulative_daily_covid_deaths_per_100k
World,2020-01-01,7868803051,0.008572060935146505,0.012615703774345401,0.009106141930893003,0.008572060935146505,-0.08748274162694165,-0.12009092876371781,-0.13683116977062518,-20.01516323458473,-0.08975409522235306,0
World,2020-01-06,7868803051,0.017487434387232874,0.018469472849153137,0.017487434387232874,0.017487434387232874,-0.1754922798358826,-0.23945541120418062,-0.27262973118273776,-40.03032646916946,-0.17950819044470612,0
World,2020-01-13,7868803051,-0.0060186055237554156,0.006234532009408039,-0.0060186055237554156,-0.0060186055237554156,-0.2805951873772805,-0.3826083507500619,-0.43168306727310823,-64.96438165727368,-0.29132009711781914,0
World,2020-01-20,7868803051,-0.05901877116351398,-0.03923107808391599,-0.047632684492199505,-0.05901877116351398,-0.4298850991218201,-0.6033881217554772,-0.6155014168302511,-95.7687692743626,-0.4294563644590252,0
World,2020-01-27,7868803051,-0.15905425158254716,-0.0652545504111721,-0.10443256621963609,-0.15905425158254716,-0.5965150085083755,-0.8189938825766813,-0.8928493169954457,-136.1535568807308,-0.6105540667297346,0
World,2020-02-03,7868803051,-0.10119107696735782,0.07468732759594232,0.03551197931164854,-0.10119107696735782,-0.665559732627967,-0.9095031011308505,-1.00019548652701,-142.3007446870316,-0.6381199313319802,0.004358985703123045
World,2020-02-10,7868803051,-0.17364534047395042,0.07191234025897443,0.002709413278697543,-0.17364534047395042,-0.8295027977913327,-1.1660271647595806,-1.2314594736231583,-179.45836634611476,-0.8047460374265235,0.011818811501220784
World,2020-02-17,7868803051,-0.3176271461539111,-0.09321466211180886,-0.13493164080503958,-0.3176271461539111,-1.136926623376884,-1.5476124459415568,-1.5613173991103184,-238.55358585525542,-1.0697470217724458,0.02268451743461993
World,2020-02-24,7868803051,-0.5646550147246425,-0.2279230089392708,-0.35927172010826053,-0.5646550147246425,-1.4854795722248006,-1.9829559619100419,-2.0669413368737093,-293.1879625371087,-1.3147442266238059,0.03233024112449603
World,2020-03-02,7868803051,-0.9491347421606189,-0.5271941852374924,-0.6513457015371076,-0.9491347421606189,-1.9715498895818817,-2.4962481696865497,-2.86503382582763,-351.69194017211686,-1.577093902117116,0.0380744057334013
