continent,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
Africa,2020-03-02,1371693397,-0.0017247945134165991,0.07770179427347239,0.052718060403314594,0.052718060403314594,-0.0017247945134165991,-0.0017247945134165991,-0.06096344827121712,0.5907273931490233,0.010740498057254967,0
Europe,2020-03-02,747993718,-0.11237097583854251,-0.1123388156727842,-0.1123388156727842,-0.1123388156727842,-0.11237097583854251,-0.11237097583854251,-0.1124485208703187,-5.503626503238656,-0.11231890822936033,8.977348122594795e-4
Oceania,2020-03-02,43202462,-0.05017948872006948,-0.03524221599729121,-0.04497239694087471,-0.04497239694087471,-0.05017948872006948,-0.05017948872006948,-0.05017948872006948,-0.6960152258063752,-0.03314358218125596,3.3099965460301774e-4
Americas,2020-03-09,1026788511,0.010544178185012259,0.015211964977400351,0.011712099484073145,0.010544178185012259,0.010391825226193585,0.010391825226193585,0.010391825226193585,0.5981342863038053,0.012461130964662613,2.504897525095117e-4
Asia,2020-03-09,4679006159,-0.034602904434701674,-0.0316414626795609,-0.034602904434701674,-0.034602904434701674,-0.038244042806021346,-0.039786574371683765,-0.051574322776732955,-0.6835762891736382,-0.013403456650463495,0.001267042572405385
Africa,2020-03-09,1371693397,-0.021053016454490828,0.020823743722768833,0.020823743722768833,0.020823743722768833,-0.021053016454490828,-0.033615589792281096,-0.07074784647046153,0.4718128557815377,0.008578415559664323,1.0425070231638651e-5
Europe,2020-03-09,747993718,0.06577760958661352,0.06581562460520345,0.06580001229389257,0.06580001229389257,0.06577760958661352,0.06577019061771582,0.0657252441636697,3.2256714077900526,0.06583002873040925,0.009014781592056096
Oceania,2020-03-09,43202462,-0.04587275303199438,-0.030410074257760353,-0.0382357961894497,-0.0382357961894497,-0.04587275303199438,-0.04587275303199438,-0.04668793283910763,-0.5950487577379605,-0.028335655130379073,6.619993092060355e-4
Americas,2020-03-16,1026788511,0.01628991182255819,0.01945820505054173,0.017408952113714758,0.01628991182255819,0.015647283583359647,0.015647283583359647,0.015647283583359647,0.9385354460904856,0.01955282179355178,0.001182716778567461
Asia,2020-03-16,4679006159,-0.019351459279115857,-0.019351459279115857,-0.019351459279115857,-0.019351459279115857,-0.034586195634203294,-0.03804658438291448,-0.05248080696082501,-0.9924063913607428,-0.01945894885021064,0.00237841106034757
Africa,2020-03-16,1371693397,-0.018116207412981453,0.014925480212500218,0.014925480212500218,0.014925480212500218,-0.018116207412981453,-0.03518948699878075,-0.08984180185792223,0.38612106970170074,0.0070203830854854675,6.247751880079947e-5
Europe,2020-03-16,747993718,0.3133170957323875,0.3133423842636066,0.31331740015764553,0.31331740015764553,0.3133170957323875,0.3132831979980196,0.3132710291669903,15.354677015294447,0.31336075541417235,0.04406093153846514
Oceania,2020-03-16,43202462,-0.012189462622925586,0.004372640997977573,-0.004198681370927991,-0.004198681370927991,-0.012189462622925586,-0.012189462622925586,-0.012189462622925586,0.12949328340774555,0.006166346828940264,0
Americas,2020-03-23,1026788511,0.11736896370994207,0.12119581039877174,0.11986268120231254,0.11736896370994207,0.11720720161733106,0.11720720161733106,0.11720720161733106,5.8480455520411505,0.12183428233419062,0.011520093839460578
Asia,2020-03-23,4679006159,-0.01537786105407875,-0.00738605942055271,-0.01522280677799066,-0.01522280677799066,-0.01537786105407875,-0.017496550177680727,-0.04113426519262204,0.7324498219755373,0.014361761215206615,0.0037279497840472923
Africa,2020-03-23,1371693397,-0.02045616367136154,-0.009685239492507968,-0.009685239492507968,-0.009685239492507968,-0.02045616367136154,-0.0696747360480953,-0.0989593588926882,0.13580482293103485,0.002469178598746088,4.791887177102158e-4
