world,date,population,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_90_top_per_100k,estimated_daily_excess_deaths_ci_50_top_per_100k,estimated_daily_excess_deaths_ci_50_bot_per_100k,estimated_daily_excess_deaths_ci_90_bot_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,estimated_daily_excess_deaths_raw_estimate_per_100k,daily_excess_deaths_per_100k,daily_covid_deaths_per_100k
World,2020-01-01,7868684247,-3.558591394628503e-4,-3.558591394628503e-4,-3.558591394628503e-4,-3.558591394628503e-4,-0.012208720426334299,-0.013496020919582625,-0.018186141823710558,-2.87217441150078,-0.01282220719419991,0
World,2020-01-06,7868684247,-1.714911970291808e-5,-1.714911970291808e-5,-1.714911970291808e-5,-1.714911970291808e-5,-0.01197365855596289,-0.01342404525259334,-0.01782357781494152,-2.87217441150078,-0.01282220719419991,0
World,2020-01-13,7868684247,-0.0031159354991006625,-0.0031159354991006625,-0.0031159354991006625,-0.0031159354991006625,-0.01541284241463013,-0.016902624321866747,-0.021403929087224237,-3.5780350350815926,-0.01597337069232854,0
World,2020-01-20,7868684247,-0.006891424130393064,-0.006891424130393064,-0.006891424130393064,-0.006891424130393064,-0.018699771998712603,-0.019232913275846916,-0.024071033068236585,-4.4204272949857835,-0.019734050424043678,0
World,2020-01-27,7868684247,-0.013476479232889034,-0.013476479232889034,-0.013476479232889034,-0.013476479232889034,-0.013577265604540487,-0.02822047674479063,-0.0348190233693205,-5.961152848369033,-0.02661228950164747,0
World,2020-02-03,7868684247,0.007945277990288433,0.007945277990288433,0.007945277990288433,0.007945277990288433,9.511185278982361e-4,-0.004698763526722074,-0.0197889734931506,-0.9949768329180377,-0.0044418608612412395,6.227216452189151e-4
World,2020-02-10,7868684247,-0.014170166705192815,-0.014170166705192815,-0.014170166705192815,-0.014170166705192815,-0.020145833223508845,-0.023369549898093662,-0.043414094626586804,-5.596831104553785,-0.0249858531453294,0.001065705489859644
World,2020-02-17,7868684247,-0.02467966959767977,-0.02467966959767977,-0.02467966959767977,-0.02467966959767977,-0.03797136797730984,-0.03797136797730984,-0.05716646859231887,-8.72519842857714,-0.03895177869900509,0.0015522671410606928
World,2020-02-24,7868684247,-0.031601607595750515,-0.031601607595750515,-0.031601607595750515,-0.031601607595750515,-0.03847128069027084,-0.04345887644790558,-0.05914805531275517,-8.136582334448065,-0.036324028278786,0.0013779813320294234
World,2020-03-02,7868684247,-0.0554823856406798,-0.04046196320301664,-0.04155311810431714,-0.04155311810431714,-0.0554823856406798,-0.05620862358639677,-0.0753790063850107,-8.741532712420764,-0.03902469960902127,8.20607333743481e-4
World,2020-03-09,7868684247,-0.016869328918995848,-0.01171021674245049,-0.01171021674245049,-0.01171021674245049,-0.016869328918995848,-0.024626766470454337,-0.03320652894290316,0.28078195171017795,0.0012534908558490087,0.0016485094067595263
World,2020-03-16,7868684247,0.01717738510990718,0.01717738510990718,0.01717738510990718,0.01717738510990718,0.013838230324799897,0.004408266773847269,-0.006765162726492271,4.933838889463511,0.022026066470819238,0.0057679274673276895
World,2020-03-23,7868684247,0.05859416976189407,0.06054707579811912,0.06054707579811912,0.06054707579811912,0.05859416976189407,0.04473491290762371,0.03731809256139293,18.135713349723055,0.08096300602554934,0.017632376092978585
World,2020-03-30,7868684247,0.07214166032923164,0.08105818189980167,0.08105818189980167,0.08105818189980167,0.07214166032923164,0.06654670986029664,0.0430537108223136,25.373011894947492,0.11327237453101559,0.041869503167014044
World,2020-04-06,7868684247,0.08868535938217947,0.09225695155219882,0.09225695155219882,0.09225695155219882,0.08868535938217947,0.06771270965111094,0.046528092178159154,27.98762429417979,0.12494475131330263,0.07260436205936374
World,2020-04-13,7868684247,0.07733331606299466,0.07733331606299466,0.07733331606299466,0.07733331606299466,0.07050680938222435,0.06069784271930984,0.03149608973553255,24.634900445412843,0.10997723413130732,0.08843937285516548
World,2020-04-20,7868684247,0.06313497636596173,0.06313497636596173,0.06313497636596173,0.06313497636596173,0.043635928638803334,0.03975344568261932,0.010253435870174247,19.80058505808031,0.08839546900928709,0.08922903473572308
World,2020-04-27,7868684247,0.047295968213746924,0.047295968213746924,0.047295968213746924,0.047295968213746924,0.034693999815602505,0.03427429678562979,0.01799983232530703,14.772056430173391,0.0659466804918455,0.07852653386563066
World,2020-05-04,7868684247,0.09835070624092687,0.09835070624092687,0.09835070624092687,0.09835070624092687,0.08805062615536804,0.08358706672623373,0.06517096595578904,18.27756716226118,0.08159628197438029,0.07171295508714037
World,2020-05-11,7868684247,0.10194956719507199,0.10194956719507199,0.10194956719507199,0.10194956719507199,0.0947613824233384,0.08912800292441032,0.07325594931384669,18.162099827255805,0.08108080280024914,0.06752451659279295
World,2020-05-18,7868684247,0.11101557833520825,0.11101557833520825,0.11101557833520825,0.11101557833520825,0.09736723678084298,0.09244243792527147,0.07649967082041204,16.65681944896178,0.07436080111143652,0.06325084148468056
World,2020-05-25,7868684247,0.14773786936069663,0.14773786936069663,0.14773786936069663,0.14773786936069663,0.10363202067297204,0.10363202067297204,0.0780967767391311,15.101221128357285,0.06741616575159501,0.055509458289234113
World,2020-06-01,7868684247,0.20412578974012105,0.20412578974012105,0.20412578974012105,0.20412578974012105,0.17471862768603855,0.17471862768603855,0.16167983424091806,20.13642299282447,0.08989474550368066,0.05690196555678363
World,2020-06-08,7868684247,0.23593887204862143,0.23593887204862143,0.23593887204862143,0.23593887204862143,0.19847939325753053,0.1891274445075365,0.15765773589208906,20.40520287185016,0.09109465567790251,0.060242498633837994
World,2020-06-15,7868684247,0.23761880751912515,0.23761880751912515,0.23761880751912515,0.23761880751912515,0.2280942958666756,0.17228513510035132,0.1516053324332346,19.88133858434384,0.08875597582296357,0.05892802220101588
World,2020-06-22,7868684247,0.2708845849796662,0.2708845849796662,0.2708845849796662,0.2708845849796662,0.23363707755437166,0.19962218173537072,0.17695512847663497,22.501926239838763,0.10045502785642306,0.06745366611989305
World,2020-06-29,7868684247,0.2989620636106714,0.2989620636106714,0.2989620636106714,0.2989620636106714,0.23957263515979668,0.2152998217652042,0.19452832526252778,22.626036781831775,0.10100909277603472,0.06085063080051178
World,2020-07-06,7868684247,0.2857194558234679,0.2857194558234679,0.2857194558234679,0.2857194558234679,0.23785809571213085,0.22797554417602933,0.20479202582728998,27.336857193735263,0.122039541043461,0.061881870553599304
World,2020-07-13,7868684247,0.30608992125902523,0.30608992125902523,0.30608992125902523,0.30608992125902523,0.25761275059422745,0.2355904286646324,0.21791891644743738,28.988593569477597,0.12941336414945356,0.0677514033179377
World,2020-07-20,7868684247,0.30849553154813403,0.30849553154813403,0.30849553154813403,0.30849553154813403,0.26429506513504863,0.2468576879977248,0.21916138913012004,29.547777612012233,0.13190972148219746,0.0732288629092833
World,2020-07-27,7868684247,0.3140544794011511,0.3140544794011511,0.3140544794011511,0.3140544794011511,0.28269225657389885,0.26620080913578714,0.23122043840510859,31.654265153389048,0.14131368372048683,0.07713941504660303
World,2020-08-03,7868684247,0.2749565534118833,0.2749565534118833,0.2749565534118833,0.2749565534118833,0.24894530947010063,0.24458549159713666,0.2207448016016724,26.465846510389664,0.118151100492811,0.07683997489548776
World,2020-08-10,7868684247,0.29147407953255544,0.3031778443121344,0.3031778443121344,0.3031778443121344,0.29147407953255544,0.261160037855614,0.24087907540135511,28.183205377829093,0.12581788115102274,0.08094479076890579
World,2020-08-17,7868684247,0.2956304184934557,0.3226088838884161,0.3226088838884161,0.3226088838884161,0.2956304184934557,0.26183204204955707,0.2345535478933162,25.1993957264314,0.11249730235014017,0.07679629542008741
World,2020-08-24,7868684247,0.2781921540135518,0.29843290450477766,0.29843290450477766,0.29843290450477766,0.2781921540135518,0.2381312199437225,0.22106024763670715,21.92411642208098,0.09787551974143295,0.07468852244567642
World,2020-08-31,7868684247,0.24904530674470446,0.2866817074412783,0.2866817074412783,0.2866817074412783,0.24904530674470446,0.2152425554725531,0.17664047955755544,19.527945888167167,0.08717832985788913,0.07200337212870248
World,2020-09-07,7868684247,0.26443379002165124,0.2993891207321434,0.2993891207321434,0.2993891207321434,0.26443379002165124,0.2406934357710482,0.2199867503801335,19.248912365800976,0.08593264449018294,0.07197978495781418
World,2020-09-14,7868684247,0.2793252281954484,0.2926773542633266,0.2926773542633266,0.2926773542633266,0.2793252281954484,0.24444706517581588,0.2173864275048526,18.694844299296907,0.08345912633614691,0.067137768325297
World,2020-09-21,7868684247,0.2623300243690163,0.28597438459797947,0.28597438459797947,0.28597438459797947,0.2623300243690163,0.2444600394137012,0.20454439767009472,18.019973523346952,0.08044631037208459,0.06832879336910569
World,2020-09-28,7868684247,0.25170282383678116,0.27695505128187675,0.27695505128187675,0.27695505128187675,0.25170282383678116,0.2205248228553491,0.1840134358841359,17.52656108680812,0.07824357628039338,0.06855386276373482
World,2020-10-05,7868684247,0.26471060025333865,0.28849561413767794,0.28849561413767794,0.28849561413767794,0.26471060025333865,0.2199104936681959,0.18677313965549566,23.11591749665056,0.10319606025290429,0.07797278181977099
World,2020-10-12,7868684247,0.2570519712574491,0.26792626557325594,0.26792626557325594,0.26792626557325594,0.2570519712574491,0.22444385811939294,0.19164204661269363,24.66791945148683,0.11012464040842336,0.06785133107908783
World,2020-10-19,7868684247,0.2795699578801057,0.28134861556765695,0.28134861556765695,0.28134861556765695,0.2795699578801057,0.23922314299330105,0.20889004421177357,29.76318892833138,0.13287137914433653,0.06950883817819054
World,2020-10-26,7868684247,0.29657294492610004,0.30141378802386976,0.30141378802386976,0.30141378802386976,0.29657294492610004,0.2560563939535781,0.21833107274873895,33.80216931383234,0.15090254157960867,0.07665656430806328
World,2020-11-02,7868684247,0.37101582971811364,0.37101582971811364,0.37101582971811364,0.37101582971811364,0.3590979080486036,0.31895103883163933,0.27727557820538967,44.50827117835819,0.1986976391890991,0.08611176643138721
World,2020-11-09,7868684247,0.3818880775481312,0.3818880775481312,0.3818880775481312,0.3818880775481312,0.3679179398884319,0.3216485036185417,0.2916309535806843,46.39976436825729,0.2071418052154343,0.10589545517952209
World,2020-11-16,7868684247,0.3784524717367496,0.3784524717367496,0.3784524717367496,0.3784524717367496,0.36711299815426457,0.32395220509890993,0.2914846197269683,46.996645861092716,0.20980645473702106,0.11559026534160025
World,2020-11-23,7868684247,0.3737923797814412,0.3737923797814412,0.3737923797814412,0.3737923797814412,0.3658920871300335,0.33208969821876316,0.29100715523753506,46.40195092611032,0.20715156663442105,0.12770155320225293
World,2020-11-30,7868684247,0.3630384286736878,0.3775520432514237,0.3775520432514237,0.3775520432514237,0.3630384286736878,0.32228184950433303,0.2961364306995134,47.28783355246224,0.21110639978777784,0.13205158160923217
World,2020-12-07,7868684247,0.38045310311844166,0.39117330701727293,0.39117330701727293,0.39117330701727293,0.38045310311844166,0.33630999636620884,0.3129803985214508,50.15002324073981,0.2238840323247313,0.13991991106006824
World,2020-12-14,7868684247,0.3656326849769035,0.3696614433095188,0.3696614433095188,0.3696614433095188,0.3656326849769035,0.3267179691475563,0.30146152768661416,49.070109022140976,0.21906298670598648,0.1421149413164399
World,2020-12-21,7868684247,0.3665968257099724,0.3986945002312703,0.3986945002312703,0.3986945002312703,0.3665968257099724,0.3296352928475717,0.3056745841829523,50.8847953222338,0.22716426483140087,0.14956397576236358
World,2020-12-28,7868684247,0.37088385009025,0.4202407115511413,0.4202407115511413,0.4202407115511413,0.37088385009025,0.3443951117870452,0.32970432533249017,54.64183951819783,0.24393678356338314,0.13320254913006677
World,2021-01-04,7868684247,0.33709203967003426,0.3761163499477997,0.3761163499477997,0.3761163499477997,0.33709203967003426,0.3083236368514404,0.2846751009284605,48.456951286395196,0.21632567538569283,0.14476917159743796
World,2021-01-11,7868684247,0.3392028041554622,0.36371266583125267,0.36371266583125267,0.36371266583125267,0.3392028041554622,0.31290277082353674,0.300788751624765,51.4958329150558,0.22989211122792771,0.16826739495930368
World,2021-01-18,7868684247,0.34097850700073273,0.3598031780424541,0.3598031780424541,0.3598031780424541,0.34097850700073273,0.3141068741259745,0.2987418225295478,52.31272171097497,0.23353893620970967,0.1763119546357367
World,2021-01-25,7868684247,0.30150818044735384,0.30150818044735384,0.30150818044735384,0.30150818044735384,0.30003314898858097,0.2863570648498069,0.2601400261196402,43.53656577024977,0.19435966861718648,0.1852516194884494
World,2021-02-01,7868684247,0.2530630123447164,0.2530630123447164,0.2530630123447164,0.2530630123447164,0.24925982247998385,0.2379023096426059,0.20059031631905194,34.05068162174775,0.1520119715256596,0.18149340539931821
World,2021-02-08,7868684247,0.212685590889667,0.2133343085738799,0.2133343085738799,0.2133343085738799,0.212685590889667,0.19626323348007416,0.1614358344060122,26.415182286996874,0.1179249209240932,0.1631312884983781
World,2021-02-15,7868684247,0.21187181247882578,0.21187181247882578,0.21187181247882578,0.21187181247882578,0.19443761287639966,0.19047807733176572,0.16574298344279054,24.42389988989822,0.10903526736561706,0.14679713453242088
World,2021-02-22,7868684247,0.194852080782832,0.194852080782832,0.194852080782832,0.194852080782832,0.19100969152548428,0.17493695046257082,0.13103231588452197,20.456910532234307,0.09132549344747458,0.12637807907708767
World,2021-03-01,7868684247,0.21253562668488468,0.21409815258740286,0.21253562668488468,0.21253562668488468,0.20647636288359159,0.19442150485687895,0.14832140104886793,24.71297028109385,0.11032576018345468,0.12371650322239701
World,2021-03-08,7868684247,0.2225547528562125,0.2225547528562125,0.2225547528562125,0.2225547528562125,0.21103736212554594,0.20455083518340497,0.15720780879620172,25.18285324759149,0.11242345199817629,0.1167376490358236
World,2021-03-15,7868684247,0.24055765624233855,0.24693404528065435,0.24693404528065435,0.24693404528065435,0.24055765624233855,0.22780094296573822,0.18067124144087232,26.606691462678683,0.11877987260124412,0.11395813732669147
World,2021-03-22,7868684247,0.2585344657682276,0.2744292176967956,0.2744292176967956,0.2744292176967956,0.2585344657682276,0.23461343904673487,0.2002295643917584,28.472773742561124,0.12711059706500502,0.12334443339368122
World,2021-03-29,7868684247,0.3096372532287306,0.3153813440376979,0.3143875273809405,0.3143875273809405,0.3096372532287306,0.28743588130161624,0.23965385889250657,30.05939325963722,0.13419371990909473,0.1316085088043564
World,2021-04-05,7868684247,0.39486076673738946,0.40332939130579054,0.40332939130579054,0.40332939130579054,0.39486076673738946,0.3411152744667692,0.2737809694003252,33.285619516806975,0.14859651570003113,0.13174109768036799
World,2021-04-12,7868684247,0.44527906007064316,0.4732401750330052,0.44527906007064316,0.44527906007064316,0.43144878431283895,0.40325095470000033,0.3576196617112493,33.21355935415873,0.14827481854535146,0.16077299079351404
World,2021-04-19,7868684247,0.4976030318424813,0.5474386083870748,0.5039812645273111,0.4976030318424813,0.49595778118832656,0.49595778118832656,0.40179245742497594,34.70580307599103,0.15493662087495996,0.15897571445657221
World,2021-04-26,7868684247,0.6310561833703516,0.7846133325946283,0.6310561833703516,0.6310561833703516,0.5828432414706386,0.5828432414706386,0.4810403909214049,33.2793865391205,0.14856868990678793,0.17003212455882905
World,2021-05-03,7868684247,0.7343668769727856,1.1353962122958776,1.1353962122958776,1.1353962122958776,0.7343668769727856,0.7343668769727856,0.4628384804280334,27.467670477303596,0.1226235289165339,0.17444016774765367
World,2021-05-10,7868684247,0.7950635123205515,1.1369724779852237,1.1369724779852237,1.1369724779852237,0.7950635123205515,0.7950635123205515,0.45268549385237095,26.636465353122865,0.11891279175501278,0.16861412382964056
World,2021-05-17,7868684247,0.7877625196381942,1.1461240726959205,1.1461240726959205,1.1461240726959205,0.7877625196381942,0.7877625196381942,0.406024618931558,25.069736327911293,0.11191846574960398,0.1609253923847276
World,2021-05-24,7868684247,0.8164687666201934,1.1948615554557402,1.1948615554557402,1.1948615554557402,0.8164687666201934,0.8164687666201934,0.39744440815736776,23.279621441250363,0.1039268814341534,0.15239260622983797
World,2021-05-31,7868684247,0.6836211419093811,1.2108488541957894,1.2108488541957894,1.2108488541957894,0.6836211419093811,0.6836211419093811,0.3729837445577867,23.89518153337713,0.10667491755971933,0.14296641785173922
World,2021-06-07,7868684247,0.5812946292137374,0.9675578036554668,0.9675578036554668,0.9675578036554668,0.5812946292137374,0.5812946292137374,0.35870133138683824,23.88225585993313,0.10661721366041575,0.12425027734118967
World,2021-06-14,7868684247,0.4431926246692222,0.6000354822812269,0.493556554812751,0.4431926246692222,0.4272170972636994,0.4272170972636994,0.3432294540072584,24.6154996677781,0.10989062351686651,0.12383816269810476
World,2021-06-21,7868684247,0.3925437750614346,0.540221926417628,0.45787282578200866,0.4392916376428509,0.3925437750614346,0.3925437750614346,0.3086472605130365,24.23301732733487,0.10818311306845924,0.11114596450269788
World,2021-06-28,7868684247,0.4093571191079905,0.5404798663552329,0.4325245240963319,0.4325245240963319,0.4093571191079905,0.4093571191079905,0.3259441279971038,24.973341353199938,0.11148813104107115,0.10239512410314155
World,2021-07-05,7868684247,0.4051412855393673,0.5182826618795026,0.42996503738565073,0.4273848754613498,0.4051412855393673,0.4051412855393673,0.32629145037184953,25.270085049326674,0.11281287968449409,0.10012571038167876
World,2021-07-12,7868684247,0.4175738049594469,0.5239674922357695,0.4626474001365605,0.4626474001365605,0.4175738049594469,0.4175738049594469,0.351329706561533,27.85075877179919,0.12433374451696068,0.10274363217817907
World,2021-07-19,7868684247,0.42752490529955767,0.5602066813180512,0.5602066813180512,0.5602066813180512,0.42752490529955767,0.42752490529955767,0.35355815216752917,28.52496958436587,0.12734361421591908,0.10087916544657863
World,2021-07-26,7868684247,0.46170827328758635,0.5435103013656559,0.5204066031325189,0.5204066031325189,0.46170827328758635,0.46170827328758635,0.3768231880221877,30.618824433472042,0.13669118050657164,0.11167057571728228
World,2021-08-02,7868684247,0.4911795754789093,0.5865205911780312,0.541261648804632,0.541261648804632,0.4911795754789093,0.4911795754789093,0.4394994094922175,35.31663267689258,0.15766353873612762,0.1174165808409773
World,2021-08-09,7868684247,0.4982108105871826,0.5673356655966928,0.5415478887884158,0.5415478887884158,0.4982108105871826,0.4982108105871826,0.41147055023873824,37.647542660179795,0.16806938687580267,0.12195362907920228
World,2021-08-16,7868684247,0.513322297136684,0.5505532958746931,0.5505532958746931,0.5505532958746931,0.513322297136684,0.513322297136684,0.40638273485126175,40.569067269002545,0.18111190745090422,0.12502372304176154
World,2021-08-23,7868684247,0.5332155611842881,0.5631195399958263,0.5631195399958263,0.5631195399958263,0.5332155611842881,0.5318347811558948,0.4068096157445118,41.909924732437155,0.18709787826980873,0.12732764062581148
World,2021-08-30,7868684247,0.5070335372404122,0.5407488133921178,0.5407488133921178,0.5407488133921178,0.5070335372404122,0.5040324177061918,0.40504373591842735,41.118374522623924,0.18356417197599964,0.12495822289156851
World,2021-09-06,7868684247,0.5054275114384449,0.5054275114384449,0.5054275114384449,0.5054275114384449,0.4869765173304073,0.4869765173304073,0.3947196958164117,41.97170461274706,0.18737368130690654,0.11916137063925068
