continent,date,population,cumulative_estimated_daily_excess_deaths,cumulative_estimated_daily_excess_deaths_ci_95_top,cumulative_estimated_daily_excess_deaths_ci_90_top,cumulative_estimated_daily_excess_deaths_ci_50_top,cumulative_estimated_daily_excess_deaths_ci_50_bot,cumulative_estimated_daily_excess_deaths_ci_90_bot,cumulative_estimated_daily_excess_deaths_ci_95_bot,cumulative_estimated_daily_excess_deaths_raw_estimate,cumulative_daily_excess_deaths,cumulative_daily_covid_deaths
Africa,2020-02-10,1371693397,26558.394064347478,26558.394064347478,26558.394064347478,26558.394064347478,-2916.1164479867994,-12178.934819259091,-12700.937470100174,40946.66163431463,744.4847569875387,0
Europe,2020-02-10,748121993,-19517.716420731562,-19490.76371109629,-19499.50664728097,-19512.043259686663,-19521.670742789036,-19526.082735928176,-19527.42643581273,-955762.4667584307,-19505.356464457767,0
Oceania,2020-02-10,43198762,21.716315889949108,530.6608939878942,339.09903368502074,167.23179671766235,-93.30606635827608,-196.4504833875093,-214.7331317626067,1473.799607299977,70.18093368095128,0
Americas,2020-02-17,1026782740,-2951.9362772974673,-1945.6908448693328,-2196.3036770165972,-2628.9826881879235,-3325.1611029415612,-3710.323959128956,-3741.7554183961497,-150665.62178662803,-3205.6515273750647,0
Asia,2020-02-17,4679006159,-24691.171487695457,9785.244384906007,2419.0795160620155,-17765.32555330599,-58517.583319202335,-81860.42752742821,-89611.00413841449,-2734679.094771568,-53621.15872101114,1783.999
Africa,2020-02-17,1371693397,31064.420190808916,31064.420190808916,31064.420190808916,31064.420190808916,-2925.5991643648504,-13785.57187653294,-15140.094986241214,54365.15689790975,988.4573981438135,0
Europe,2020-02-17,748121993,-28484.392774795444,-28452.271638403283,-28460.934814971915,-28477.94444314272,-28490.209891832696,-28496.33182038303,-28498.139997664985,-1395015.4598878296,-28469.70326301693,1.001
Oceania,2020-02-17,43198762,69.62578161626885,678.2820248172993,447.3271671742334,236.73995857883642,-71.49173267217625,-176.0929905491658,-217.75236542733484,2767.16634699693,131.76982604747286,0
Americas,2020-02-24,1026782740,-2842.5888653646307,-1901.924284447065,-2038.9052308309842,-2579.6066757129465,-3363.4430350189796,-3743.9666559693906,-3814.873494646571,-148398.58397949432,-3157.4166804147726,0
Asia,2020-02-24,4679006159,-30726.95508628008,12322.839903458233,6704.954148384832,-25257.808189911306,-72960.28034226809,-102876.90952948225,-107399.62855191494,-3263685.207091597,-63993.82759003132,2536.002
Africa,2020-02-24,1371693397,25976.963913387346,25976.963913387346,25976.963913387346,25976.963913387346,-7279.665426251719,-20844.337380216675,-22919.740411961768,24156.10625755037,439.2019319554613,0
Europe,2020-02-24,748121993,-36996.02252889317,-36958.583894494965,-36967.44746740382,-36988.33765420088,-37002.42148952341,-37011.061707154484,-37011.39616463546,-1811978.3711398812,-36979.15043142615,8.001
Oceania,2020-02-24,43198762,157.01154087336232,863.1514761127073,597.9697542429956,365.4464940937065,5.8540798906149405,-116.26450559129934,-159.76580550570523,4967.738002423985,236.55895249638024,0
Americas,2020-03-02,1026782740,-1051.2790100108973,96.90368452778492,-22.854650875990536,-754.1470596469809,-1575.1120131435646,-2137.0296662607857,-2175.1254254260607,-66595.86207055503,-1416.933235543724,5.999
Asia,2020-03-02,4679006159,-56074.7426485122,-14253.123172145537,-27050.30944098146,-56074.7426485122,-102273.97008913531,-148086.08471440812,-156053.0564085297,-4154750.7433835794,-81465.70085065842,2933.994
Africa,2020-03-02,1371693397,25200.700791628184,28529.83169555747,26608.819580203985,25200.700791628184,-9974.984691790367,-24969.242731664857,-26276.61732965626,77739.35674739024,1413.44284995255,0
Europe,2020-03-02,748121993,-42887.84240656157,-42844.38860507553,-42853.40529438078,-42880.06058630763,-42896.50813938294,-42905.22046274571,-42906.185536890865,-2100531.5606426625,-42867.99103352373,55.00599999999999
Oceania,2020-03-02,43198762,127.61972422071634,892.0092266144235,629.7746323949227,374.16946903375793,-24.136362226865025,-171.08584488529002,-214.25999823970804,5014.152839781596,238.7691828467427,1.001
Americas,2020-03-09,1026782740,483.37414851433516,1855.0178947900192,1665.676643137856,854.7245256576123,-142.25627728508445,-767.8742249550578,-1069.7185603485814,4575.459838376188,97.35020932715305,24.003
Asia,2020-03-09,4679006159,-64854.23511080668,-25479.06398512536,-35699.65360576683,-64854.23511080668,-116834.13858273003,-182985.46311900404,-197631.78400786844,-4382564.404448893,-85932.63538135083,3348.989
Africa,2020-03-09,1371693397,24476.741600272846,31030.378527550023,28159.96487528446,24476.741600272846,-16106.200752464434,-34597.99433819711,-38254.98814060684,119959.60723722973,2181.0837679496317,1.001
Europe,2020-03-09,748121993,-39451.8475478804,-39402.03407680643,-39413.403834229415,-39442.39311318981,-39462.094758004394,-39469.92840357191,-39473.985750430664,-1932022.550145445,-39429.03163562133,526.015
Oceania,2020-03-09,43198762,109.24978745882841,1008.0610479137798,685.8794888056018,383.2197555081692,-33.345121649210974,-217.67438854388448,-249.8407235040426,5291.567677139212,251.97941319710532,3.0029999999999997
Americas,2020-03-16,1026782740,2395.467368160404,3859.2565903535524,3762.70775900264,2792.563452992153,1603.2250077564156,793.6564351867876,408.43475198290605,96707.99841400469,2057.6169875320147,109.011
Asia,2020-03-16,4679006159,-71106.76219257849,-35225.43753703288,-40672.52260008007,-71106.76219257849,-134193.99150340995,-230713.17336184933,-234622.80454096786,-4711529.3220294705,-92382.92788293079,4127.991
Africa,2020-03-16,1371693397,23520.312238029655,37097.636264866094,32397.340003089732,23520.312238029655,-21675.087029355298,-47466.445364551786,-56166.382998878464,153951.8577270697,2799.124685946722,7
Europe,2020-03-16,748121993,-23055.464033286626,-22998.88383917404,-23015.730613635045,-23044.528216881037,-23066.52143745643,-23076.110331894193,-23081.35411795508,-1128444.1396482214,-23029.472237718808,2832.025
Oceania,2020-03-16,43198762,185.44298530889435,1159.639383911844,822.3952028009095,480.1866900155946,42.18651988781071,-180.70165486990507,-209.56548661772018,7580.782514496802,360.98964354746676,3.0029999999999997
Americas,2020-03-23,1026782740,11687.300706492659,13680.064129220802,13452.382811525405,12294.84857315061,10806.416242324012,9748.541401640035,9377.266200315602,541401.6369896232,11519.183765736665,936.019
Asia,2020-03-23,4679006159,-71631.98764412318,-41336.47213651495,-46798.93117045934,-71631.98764412318,-145272.49951740477,-262986.8912461587,-269263.29236838885,-4475775.348111065,-87760.3009433542,5349.008
Africa,2020-03-23,1371693397,19288.03195997671,40949.360627392685,29791.839751060506,19288.03195997671,-29161.181771730528,-64851.30413768319,-75644.44445065848,163909.1082169096,2980.165603943811,55.013
Europe,2020-03-23,748121993,7746.964174008995,7809.695287891935,7793.981196694803,7759.321646130871,7736.1856863096955,7722.199931621027,7719.0387214117045,381049.83084899775,7776.527160183623,10439.044
Oceania,2020-03-23,43198762,319.0818482109872,1363.8202747563705,1047.3975263201703,634.21830511379,160.49948469168476,-78.9633158952437,-116.14562584099859,11058.597351854398,526.5998738978285,7
