location,official_covid_deaths_absolute,estimate_absolute,estimate_top_95_absolute,estimate_bot_95_absolute,difference_pct,vaccinated_per_100,official_covid_deaths_per_100k,estimate_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k
Malta,471,424.35,462.694,374.34,-9.9,84.71594652199187,91.261,82.222,89.652,72.532
Marshall Islands,NA,114.666,156.927,-42.03,NA,NA,NA,192.335,263.221,-70.498
Mauritania,852,7223.49,10283.423,-3023.185,747.8,NA,17.843,151.274,215.355,-63.311
Mauritius,240,-61.276,445.204,-337.368,-125.5,NA,18.847,-4.812,34.961,-26.493
Mexico,296721,601038.337,632953.592,588045.149,102.6,NA,227.787,461.406,485.907,451.432
Micronesia,NA,299.829,359.97,5.755,NA,NA,NA,257.906,309.638,4.951
Moldova,9414,17822.137,19208.481,16328.902,89.3,NA,233.945,442.893,477.345,405.785
Monaco,36,173.545,178.283,159.252,382.1,NA,91.093,439.132,451.121,402.965
Mongolia,2038,805.174,2284.095,634.72,-60.5,67.97630840523573,61.214,24.185,68.606,19.065
Montenegro,2360,3692.902,4158.043,3315.793,56.5,44.607683134013,375.766,587.994,662.055,527.95
Montserrat,NA,18.308,28.546,-2.902,NA,NA,NA,367.561,573.106,-58.263
Morocco,14798,62830.074,115308.557,33250.081,324.6,65.80129108782974,39.625,168.243,308.767,89.035
Mozambique,1945,52400.828,73891.524,12539.295,2594.1,NA,6.047,162.922,229.74,38.987
Myanmar,19193,110282.731,153561,33975.995,474.6,NA,35.02,201.224,280.19,61.993
Namibia,3578,9462.271,10946.326,4741.313,164.5,NA,138.289,365.714,423.072,183.25
Nauru,NA,18.913,30.781,-3.7,NA,NA,NA,173.948,283.098,-34.03
Nepal,11559,93793.789,112884.173,44473.546,711.4,NA,38.952,316.071,380.403,149.869
Netherlands,20671,31258.187,32718.999,30027.55,51.2,NA,120.369,182.018,190.525,174.852
New Caledonia,NA,395.604,825.897,-166.605,NA,NA,NA,137.259,286.554,-57.805
New Zealand,47,-2693.555,-1934.124,-2904.621,-5831,77.20440791785421,0.918,-52.582,-37.757,-56.702
Nicaragua,214,21035.663,26787.724,10450.34,9729.7,NA,3.193,313.854,399.675,155.92
Niger,269,50994.415,80442.565,-7879.074,18857,NA,1.07,202.916,320.095,-31.352
Nigeria,2983,288976.946,316885.507,-122571.896,9587.5,NA,1.411,136.696,149.898,-57.981
Niue,NA,4.246,7.01,-1,NA,NA,NA,263.1,434.31,-24.146
North America,830365,1068490.189,1106878.72,1052625.186,28.7,73.19384945272436,223.828,288.016,298.364,283.739
North Korea,NA,25054.135,74580.684,-6395.234,NA,NA,NA,97.601,290.536,-24.913
North Macedonia,7754,16055.389,16690.061,14995.667,107.1,NA,372.312,770.907,801.382,720.024
Norway,1141,1568.691,1874.908,1156,37.5,77.97151983788142,20.876,28.701,34.304,21.15
