iso3c,date,estimated_daily_excess_deaths_per_100k,estimated_daily_excess_deaths_ci_95_top_per_100k,estimated_daily_excess_deaths_ci_95_bot_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_top_per_100k,cumulative_estimated_daily_excess_deaths_ci_95_bot_per_100k,daily_covid_deaths_per_100k,cumulative_covid_deaths_per_100k
ABW,2021-12-14,1.2683767529999972,2.0012301829999988,-8.996039999998343e-4,308.4430773061697,370.2280391201698,250.21518454916958,NA,NA
AFG,2021-12-14,0.7543685080000004,1.107900391999997,0.04985883199999966,189.98228528800044,312.8267413800001,102.35505913300017,0.004706865456547875,18.40572668128481
AGO,2021-12-14,0.6100416870000029,0.8961566739999991,-0.0026248079999997564,114.07904110699982,169.31229903300002,-37.02783222599991,7.367326748691733e-4,5.1188186249910155
AIA,2021-12-14,1.082695360999999,1.7845342529999997,-0.08668275899999986,373.7013160639997,575.7763119440001,-57.2574622069998,NA,NA
ALB,2021-12-14,0.6036304859999998,1.2192647610000003,0.14088547899999973,460.1367296411885,481.2859955351886,428.3383224701885,0.13052858158245192,109.85285425979154
AND,2021-12-14,1.0161219219999977,1.7204621330000016,0.17203069599999976,226.50795941409748,439.86263127609743,153.3737557740975,0.16159474623161052,173.22956796028646
ARE,2021-12-14,0.4001323170000015,0.9820906080000013,-0.08526321899999968,164.47070457700002,354.536875059,57.64022798100007,0.002502231239596348,21.52919758548698
ARG,2021-12-14,0.1273618189999997,0.5185914049999998,-0.1256683609999998,298.75167197345445,387.26917543245423,284.7186800194544,0.04549857591650084,256.2699065862708
ARM,2021-12-14,0.9676179380000026,1.473467054999997,0.390317122000001,494.7122042029997,614.2178616400004,349.9420511180001,0.6148656661707311,265.28505509196367
ATG,2021-12-14,0.32624652599999926,0.9453932679999999,-0.08071584199999987,93.34281254080591,202.43062948380575,16.879824574805784,0,118.50741431002349
AUS,2021-12-14,0.049788619000000034,0.41069670200000036,-0.15128683000000018,-4.5021328305680015,14.726112705432007,-11.952488122567972,0.025205309851394533,8.275097111211682
AUT,2021-12-14,0.7478304749999982,1.2633149190000006,0.317247866999998,184.34167753354967,191.97304333954975,176.9548782245497,0.5625853692196634,148.02491896559044
AZE,2021-12-14,1.5149097409999979,1.6624351600000018,0.336738463999999,376.63991637499964,454.8667269269996,198.6613275749997,0.15894994827524145,79.70973098430416
BDI,2021-12-14,1.1752175350000023,1.4001258030000003,0.035378043999999685,221.85828680600014,221.85828680600014,-74.14482021099971,0,0.3100666651489719
BEL,2021-12-14,0.677664770999998,1.2849206029999976,0.32055691799999947,194.91591125808358,204.3679657500835,191.13643593308362,0.3363469446458467,238.37864352932095
BEN,2021-12-14,0.8049353150000017,1.329889144000001,0.016984709000000042,101.43973854900005,162.25884880899977,-41.94480754600028,0,1.293065610390015
BES,2021-12-14,0.8230235349999991,1.2769500669999987,-0.15898499099999927,331.2069712189998,506.1060370830001,-107.65031596699995,NA,NA
BFA,2021-12-14,0.43497588799999837,1.2449225909999948,-0.027104165000000048,183.4733648060003,213.7694149849999,-28.595883027000127,0.0034888431679868217,1.3769301036321324
BGD,2021-12-14,0.7865566570000011,2.683806855000003,0.03547855600000011,212.2531958730003,359.86910919099944,112.38710245199997,0.0018790946148130837,16.86134147007158
BGR,2021-12-14,2.194877927000006,2.47866306599999,1.0703265650000011,859.8294468940353,865.371974366035,825.6394853080352,1.185357249275192,434.0220005205422
BHR,2021-12-14,0.406440697,1.0338329660000032,-8.459550000000148e-4,204.48354650299964,455.58695410800004,110.85384417199985,0,79.7348273603711
BHS,2021-12-14,0.445462605,0.9680270910000043,0.03604625599999951,207.89463429700012,362.4041371009996,112.780884267,0.251943746000393,179.63589089828022
BIH,2021-12-14,1.667458491999997,2.269169249999995,0.8716713540000004,658.5648728463157,686.9543498633159,582.3916155903161,0.9077791386378685,401.1387916931085
BLR,2021-12-14,1.086175873,1.838603742,0.3275263810000013,636.3164141637998,650.8505226528002,452.88283662579977,0.16944006518359309,56.52944174687624
BLZ,2021-12-14,0.3021129259999998,0.7905874669999983,0.02630651900000025,194.6359394040105,327.05008987401067,134.50009157301054,0.12348270624699009,145.46262795895436
BMU,2021-12-14,1.009027910000003,2.034566525999999,-0.19622014700000054,114.65778580616153,400.1398189771613,32.79842269216147,NA,NA
BOL,2021-12-14,0.321949349,1.0767586569999976,0.1258925989999997,411.65580105347084,434.7417517554708,406.30606363147086,0.11408833783940012,163.71253930554514
BRA,2021-12-14,0.19121068300000008,0.6936739519999996,-0.15660719899999953,319.70549362221146,335.5578258972115,308.92094445621154,0.05958126539027894,288.45323348017945
BRB,2021-12-14,0.7919644490000012,1.105010164999997,0.37137059800000066,124.45571447700001,164.82294510599982,34.65316569699958,0.4779151083737678,88.63152918931695
BRN,2021-12-14,0.146376959,0.9548324999999983,-0.038638180000000286,53.307943380195745,151.97729577919606,7.932962589195661,0,22.19544676263555
BTN,2021-12-14,0.7238839539999998,1.0521161450000005,-0.09928106199999964,90.66552881,257.2195164270001,-29.1673145879998,0,0.3846647006026413
BWA,2021-12-14,0.2905921459999991,0.7307025740000005,-0.002463922999999906,362.05442134900017,457.3180469120003,172.36827240699995,0.02607164906308922,101.15799836478618
CAF,2021-12-14,0.8180503779999985,1.1384888479999984,-0.08213366799999978,90.18001092600014,155.49984244499987,-57.92419693599966,0,2.052850952654956
CAN,2021-12-14,0.03996606299999981,0.44421850200000196,-0.09218983700000004,50.469747295654756,71.72224189365477,44.87635289965479,0.052537684427302334,78.97727411534223
