iso3c,location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths,demography_adjusted_ifr_percent,aged_65_older_pct
ABW,Aruba,2020-02-03,0,11.01942016389489,0.033,-0.107,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-07-19,84.4822212565275,150.765703151471,0.628,0.048,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-01-11,52.091804411139485,207.86633490983544,0.51,0.07,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-12-21,0,43.24287609770874,0.214,-0.134,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-02-08,175.80983988759576,175.80983988759576,1.053,0.009,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-08-24,39.06885330835461,73.12887926948427,0.306,-0.078,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-07-26,84.4822212565275,193.34073560288306,0.632,0.054,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-04-27,1.168726381019155,24.877175824550587,0.007,-0.152,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-11-30,0,35.228752342148816,0.178,-0.073,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-06-15,42.24111062826375,42.24111062826375,0.253,-0.128,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-02-24,0,17.530895715287325,0.043,-0.107,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2020-10-26,82.14476849448918,82.14476849448918,0.492,-0.029,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-12-13,157.11021779128927,380.3369565659479,1.07,0.399,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2020-07-13,0,26.880706763440568,0.062,-0.256,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-04-12,193.6746574260314,193.6746574260314,1.16,0.264,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-12-14,227.06683974086442,358.13115532658395,1.36,0.47,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2020-12-14,0,36.898361457890466,0.196,-0.134,0,NA,TRUE,0.598942585166585,13.085
ABW,Aruba,2021-11-01,137.4088302255378,375.1611683071488,1.173,0.538,0,NA,FALSE,0.598942585166585,13.085
ABW,Aruba,2021-03-01,120.04489542182463,120.04489542182463,0.719,0.008,0,NA,TRUE,0.598942585166585,13.085
