location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Asia,2020-03-09,-1618.981,-1480.415,-1618.981,-1789.35,-2413.074,60,FALSE
Latin America and Caribbean,2020-03-09,67.055,114.983,67.055,65.49,65.49,1,FALSE
North America,2020-03-09,41.212,41.212,41.212,41.212,41.212,3.625,FALSE
Africa,2020-03-16,-248.499,204.732,204.732,-248.499,-1232.354,0.875,FALSE
Oceania,2020-03-16,-5.266,1.889,-1.814,-5.266,-5.266,0,FALSE
Europe,2020-03-16,2343.592,2343.781,2343.594,2343.592,2343.248,303,FALSE
Asia,2020-03-16,-906.593,-906.593,-906.593,-1619.427,-2456.717,106.25,FALSE
Latin America and Caribbean,2020-03-16,-35.72,-3.188,-35.72,-42.319,-42.319,3.533,FALSE
North America,2020-03-16,202.983,202.983,202.983,202.983,202.983,10,FALSE
Africa,2020-03-23,-280.596,-132.852,-132.852,-280.596,-1357.419,5.875,FALSE
Oceania,2020-03-23,3.944,8.647,4.358,3.944,2.532,0.5,FALSE
Europe,2020-03-23,4401.642,4401.67,4401.642,4401.558,4401.335,1015.375,FALSE
Asia,2020-03-23,-722.211,-348.274,-714.956,-722.211,-1927.355,171.5,FALSE
Latin America and Caribbean,2020-03-23,337.548,376.842,337.548,335.887,335.887,17.427,FALSE
North America,2020-03-23,867.583,867.583,867.583,867.583,867.583,93.5,FALSE
Africa,2020-03-30,-458.758,-318.75,-318.75,-458.758,-1798.071,15.75,FALSE
Oceania,2020-03-30,18.864,21.5,18.864,18.642,16.131,1.375,FALSE
Europe,2020-03-30,6089.285,6089.289,6089.285,6089.279,6089.144,2385.75,FALSE
Asia,2020-03-30,-3047.047,-2469.492,-2469.492,-3047.047,-4170.78,202.75,FALSE
Latin America and Caribbean,2020-03-30,806.393,836.546,806.393,790.67,790.67,53.358,FALSE
North America,2020-03-30,2266.869,2266.869,2266.869,2266.869,2266.869,471.5,FALSE
Africa,2020-04-06,-525.631,-359.62,-359.62,-525.631,-1927.351,42,FALSE
Oceania,2020-04-06,2.933,6.076,3.31,2.933,-1.884,3,FALSE
Europe,2020-04-06,6000.272,6000.275,6000.275,6000.272,6000.18,3614.125,FALSE
Asia,2020-04-06,-2711.763,-2490.162,-2580.331,-2711.763,-4008.88,282.25,FALSE
Latin America and Caribbean,2020-04-06,865.04,904.754,865.04,848.254,848.254,152.28,FALSE
North America,2020-04-06,3349.069,3349.069,3349.069,3349.069,3349.069,1419.25,FALSE
Africa,2020-04-13,-388.499,-356.353,-356.353,-388.499,-1868.629,48.875,FALSE
Oceania,2020-04-13,-19.188,-16.891,-19.188,-19.994,-23.703,3.75,FALSE
Europe,2020-04-13,5086.382,5086.508,5086.508,5086.382,5086.332,3945.25,FALSE
Asia,2020-04-13,-2655.874,-2586.6,-2655.874,-3213.356,-4206.151,341.125,FALSE
Latin America and Caribbean,2020-04-13,873.315,916.925,873.315,862.176,858.844,284.071,FALSE
North America,2020-04-13,3189.04,3189.04,3189.04,3189.04,3189.04,2207.125,FALSE
Africa,2020-04-20,-448.98,-448.98,-448.98,-560.809,-1716.303,46.375,FALSE
Oceania,2020-04-20,-19.141,-15.087,-15.087,-19.141,-22.92,1.875,FALSE
Europe,2020-04-20,3618.618,3618.859,3618.618,3618.549,3618.436,3568.375,FALSE
Asia,2020-04-20,-2237.212,-2237.212,-2237.212,-3639.519,-4121.172,516.125,FALSE
Latin America and Caribbean,2020-04-20,1140.6,1175.256,1140.6,1116.432,1114.044,433.208,FALSE
North America,2020-04-20,2915.583,2915.583,2915.583,2915.583,2915.583,2332,FALSE
Africa,2020-04-27,-161.004,-161.004,-161.004,-481.294,-1856.184,42.625,FALSE
