location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Latin America and Caribbean,2020-03-16,-0.002,0.005,-0,-0.006,-0.011,0,FALSE
Oceania,2020-03-16,0.025,0.057,0.036,0.021,0.011,0,FALSE
Europe,2020-03-16,0.313,0.313,0.313,0.313,0.313,0.04,FALSE
Asia,2020-03-16,-0.019,-0.008,-0.019,-0.063,-0.134,0.002,FALSE
North America,2020-03-16,0.077,0.077,0.077,0.077,0.077,0.003,FALSE
Africa,2020-03-16,-0.01,0.069,0.019,-0.075,-0.181,0,FALSE
Latin America and Caribbean,2020-03-23,0.054,0.065,0.058,0.052,0.043,0.003,FALSE
Oceania,2020-03-23,0.044,0.075,0.057,0.039,0.028,0.001,FALSE
Europe,2020-03-23,0.588,0.588,0.588,0.588,0.588,0.135,FALSE
Asia,2020-03-23,-0.002,0.003,-0.002,-0.042,-0.102,0.004,FALSE
Africa,2020-03-23,-0.044,0.053,-0.024,-0.103,-0.192,0,FALSE
North America,2020-03-23,0.262,0.262,0.262,0.262,0.262,0.025,FALSE
Latin America and Caribbean,2020-03-30,0.128,0.137,0.129,0.122,0.113,0.008,FALSE
Oceania,2020-03-30,0.076,0.108,0.085,0.067,0.05,0.003,FALSE
Europe,2020-03-30,0.814,0.814,0.814,0.814,0.814,0.318,FALSE
Asia,2020-03-30,-0.028,-0.028,-0.028,-0.088,-0.167,0.004,FALSE
Africa,2020-03-30,-0.049,0.043,-0.048,-0.108,-0.199,0.001,FALSE
North America,2020-03-30,0.639,0.639,0.639,0.639,0.639,0.127,FALSE
Latin America and Caribbean,2020-04-06,0.137,0.144,0.137,0.131,0.121,0.023,FALSE
Oceania,2020-04-06,0.044,0.078,0.056,0.038,0.028,0.007,FALSE
Europe,2020-04-06,0.802,0.802,0.802,0.802,0.802,0.482,FALSE
Asia,2020-04-06,-0.019,-0.019,-0.019,-0.081,-0.14,0.006,FALSE
Africa,2020-04-06,-0.058,0.015,-0.058,-0.125,-0.23,0.003,FALSE
North America,2020-04-06,0.933,0.933,0.933,0.933,0.933,0.383,FALSE
Latin America and Caribbean,2020-04-13,0.137,0.144,0.139,0.132,0.122,0.043,FALSE
Oceania,2020-04-13,-0.003,0.027,0.006,-0.012,-0.022,0.009,FALSE
Europe,2020-04-13,0.68,0.68,0.68,0.68,0.68,0.526,FALSE
Asia,2020-04-13,-0.03,-0.023,-0.03,-0.08,-0.131,0.007,FALSE
Africa,2020-04-13,-0.051,0.014,-0.051,-0.129,-0.228,0.004,FALSE
North America,2020-04-13,0.899,0.899,0.899,0.899,0.899,0.595,FALSE
Latin America and Caribbean,2020-04-20,0.177,0.186,0.179,0.172,0.163,0.066,FALSE
Oceania,2020-04-20,0.005,0.041,0.014,-0.003,-0.015,0.004,FALSE
Europe,2020-04-20,0.484,0.484,0.484,0.484,0.484,0.476,FALSE
Asia,2020-04-20,-0.031,-0.031,-0.031,-0.091,-0.159,0.011,FALSE
Africa,2020-04-20,-0.053,0.024,-0.053,-0.129,-0.25,0.003,FALSE
North America,2020-04-20,0.813,0.813,0.813,0.813,0.813,0.63,FALSE
Latin America and Caribbean,2020-04-27,0.218,0.227,0.219,0.212,0.204,0.104,FALSE
Oceania,2020-04-27,-0.061,-0.022,-0.047,-0.065,-0.082,0.007,FALSE
Europe,2020-04-27,0.306,0.306,0.306,0.306,0.306,0.384,FALSE
Asia,2020-04-27,-0.031,-0.026,-0.031,-0.082,-0.142,0.008,FALSE
Africa,2020-04-27,-0.048,0.018,-0.048,-0.126,-0.249,0.003,FALSE
North America,2020-04-27,0.636,0.636,0.636,0.636,0.636,0.6,FALSE
Latin America and Caribbean,2020-05-04,0.409,0.423,0.41,0.403,0.395,0.16,FALSE
Oceania,2020-05-04,-0.032,0.013,-0.017,-0.035,-0.05,0.004,FALSE
Europe,2020-05-04,0.23,0.23,0.23,0.23,0.23,0.279,FALSE
Asia,2020-05-04,0.034,0.051,0.034,-0.01,-0.068,0.008,FALSE
Africa,2020-05-04,-0.013,0.072,-0.013,-0.085,-0.243,0.004,FALSE
North America,2020-05-04,0.563,0.563,0.563,0.563,0.563,0.541,FALSE
Latin America and Caribbean,2020-05-11,0.45,0.462,0.45,0.442,0.432,0.207,FALSE
Oceania,2020-05-11,-0.071,-0.032,-0.055,-0.073,-0.096,0.001,FALSE
Europe,2020-05-11,0.233,0.233,0.233,0.232,0.232,0.218,FALSE
Asia,2020-05-11,0.046,0.072,0.046,-0.004,-0.049,0.008,FALSE
Africa,2020-05-11,-0.004,0.088,-0.004,-0.078,-0.206,0.005,FALSE
North America,2020-05-11,0.477,0.477,0.477,0.477,0.477,0.484,FALSE
Latin America and Caribbean,2020-05-18,0.483,0.494,0.483,0.475,0.467,0.247,FALSE
Oceania,2020-05-18,-0.067,-0.026,-0.048,-0.07,-0.09,0.001,FALSE
Europe,2020-05-18,0.174,0.174,0.174,0.174,0.174,0.173,FALSE
Africa,2020-05-18,0.003,0.089,0.003,-0.075,-0.216,0.005,FALSE
North America,2020-05-18,0.374,0.374,0.374,0.374,0.374,0.404,FALSE
Asia,2020-05-18,0.065,0.099,0.065,0.012,-0.045,0.008,FALSE
Latin America and Caribbean,2020-05-25,0.506,0.519,0.509,0.498,0.488,0.295,FALSE
Oceania,2020-05-25,-0.088,-0.045,-0.073,-0.091,-0.113,0.001,FALSE
Europe,2020-05-25,0.128,0.128,0.128,0.128,0.128,0.095,FALSE
Africa,2020-05-25,0.003,0.101,0.012,-0.073,-0.192,0.007,FALSE
North America,2020-05-25,0.308,0.308,0.308,0.308,0.308,0.324,FALSE
Asia,2020-05-25,0.109,0.244,0.109,0.026,-0.049,0.008,FALSE
Latin America and Caribbean,2020-06-01,0.522,0.538,0.525,0.512,0.504,0.305,FALSE
