location,iso3c,official_covid_deaths_per_100k,cumulative_estimated_daily_excess_deaths_per_100k,estimate_top_95_per_100k,estimate_bot_95_per_100k,cumulative_estimated_daily_excess_deaths_per_100k_population_over_65,cumulative_estimated_daily_excess_deaths_per_100k_demography_adjusted,implied_infections_per_100_persons,implied_infections_per_100_persons_top_95,implied_infections_per_100_persons_bot_95
Papua New Guinea,PNG,6.437,55.988284310000054,149.848,-23.841,1470.2805753676487,134.1906915009411,31.764071528868136,85.01406870578565,0
Poland,POL,235.587,404.5455545340102,416.906,389.339,2413.324312676789,211.83118869600443,50.142233820576585,51.674224266291795,48.2574042271667
North Korea,PRK,NA,97.60083897699981,290.536,-24.913,NA,92.59683224111039,21.91845328282406,65.24644425722953,0
Portugal,PRT,183.784,238.75279138042484,247.555,233.49,1110.3748087639515,97.90072883196976,23.17393046093068,24.028248523620668,22.66308525928219
Paraguay,PRY,228.765,262.51245922095063,302.661,252.968,4115.905600830207,359.48463828452526,85.09305404331168,98.10706759588732,81.99938411202332
Palestinian Territories,PSE,92.786,317.5702373480005,579.754,197.09,10436.090612816315,818.21218484769,193.67774377339154,353.5766886927934,120.20006813310812
French Polynesia,PYF,NA,306.4381108340477,365.463,190.131,3941.326184360742,316.6204028630318,74.94672701623163,89.38274163259831,46.50117367433977
Qatar,QAT,20.918,32.42489251422585,47.584,29.514,2480.8640026186577,88.4183647870548,20.929374699152415,30.714362115354927,19.050693764898547
Romania,ROU,302.424,580.651453634256,601.301,545.938,3252.949320079865,302.15607685642243,71.52289872567106,74.06649591391043,67.24699945801213
Russia,RUS,196.024,733.8689280703182,741.349,711.25,5176.110368672014,454.3758442119123,107.55460498119429,108.65085925696222,104.23956248284898
Rwanda,RWA,10.123,191.62744647300008,220.375,13.404,6443.4245619704125,514.730805656526,121.8411347770061,140.1197194894051,8.522386486945496
Saudi Arabia,SAU,25.059,286.9180440319996,737.701,61.395,8707.679636782992,568.9948755076163,134.6858990219645,346.29375148261863,28.819995429857457
Sudan,SDN,7.241,490.6384347120005,653.236,109.259,13828.591733709147,1170.5002125889512,277.0672992393817,368.8871213530149,61.699165455426815
Senegal,SEN,10.967,112.01855375900008,168.962,-14.694,3724.0210691156944,314.1531585336594,74.36270941798541,112.16427823644916,0
Singapore,SGP,14.743,23.769858602864808,47.849,11.494,183.94875872825264,17.37506550579515,4.112824946139993,8.279224619676253,1.9887857150882968
Solomon Islands,SLB,NA,32.96246652200005,243.273,-20.679,939.9049478756785,75.76381894176141,17.933936678085054,132.35805242295268,0
Sierra Leone,SLE,1.486,78.67279015199999,110.87,-87.677,3099.7947262411344,223.7498003880305,52.963470003770894,74.63934569998426,0
El Salvador,SLV,58.296,290.810318897143,413.638,164.227,3515.1736842396112,311.38862256850564,73.70832037535456,104.84001250044221,41.62477126686611
Somalia,SOM,8.148,188.41416717500016,196.884,-48.016,6899.090705785433,575.6424347833049,136.2594325209247,142.38478302328224,0
Serbia,SRB,178.14,698.8087768319391,714.218,656.044,4024.0053946328403,394.9176805432889,93.4803548031776,95.54167473893828,87.7597205605859
South Sudan,SSD,1.169,300.1166235310003,312.859,8.17,8721.785048852087,775.44618286621,183.55466943232284,191.34813733413995,4.996950546712712
São Tomé and Príncipe,STP,25.519,120.53324770000015,194.786,-48.655,4176.481209286214,314.3052765162157,74.39871703091818,120.23101601578026,0
Suriname,SUR,199.223,242.10301719499992,410.977,176.02,3492.0383267705165,298.53740897739914,70.66632943563422,119.9581413505236,51.377707593463036
Slovakia,SVK,284.138,444.4464475141251,456.385,412.983,2949.213321261613,273.4392336052535,64.72537906979368,66.46399238714775,60.14333477715951
Slovenia,SVN,261.507,264.79260643337665,283.428,257.002,1389.1124039102751,122.52977922286418,29.003834976319368,31.04499772552616,28.15045106580744
Sweden,SWE,149.643,112.23937340828549,121.874,108.088,561.6180806018789,53.277664935421065,12.61127385939371,13.693794549985062,12.14481931609435
Eswatini,SWZ,106.963,433.606610211,433.607,148.42,13708.713569743913,993.7734510067959,235.2345801947717,235.2345801947717,80.51876364199437
Seychelles,SYC,130.422,-16.8557734864782,56.12,-31.552,-195.86071910850802,-17.37347675204208,0,13.69205860900191,0
Syria,SYR,15.447,134.45270441500014,423.754,69.829,NA,238.650362720002,56.49055912179501,178.04089902345842,29.338804848986527
Chad,TCD,1.07,251.935025184,360.645,-79.018,10134.15226001609,853.4673698968974,202.0229442276172,289.1957505318321,0
Togo,TGO,2.866,145.81431823300008,188.659,-40.026,5136.115471398382,424.0455788021023,100.3751746556564,129.86838321212787,0
Thailand,THA,30.351,79.1362691394162,86.366,75.916,695.8258079611027,56.84613413320514,13.455960697051008,14.685302372056004,12.908484918672977
Tajikistan,TJK,1.282,237.65255451516555,338.049,123.402,6856.680741926299,564.9619160599281,133.73126341396116,190.2261159328931,69.44039025088742
Turkmenistan,TKM,NA,148.86798877800027,275.18,17.435,3480.6637544540627,255.561381144255,60.49354019928809,111.82138337600425,7.084970802685009
Timor-Leste,TLS,9.078,155.4210031490001,234.72,10.296,4370.669379893141,326.7671610194478,77.34855048298279,116.81327406951614,5.123838403773616
Tonga,TON,NA,170.42352038100017,256.854,-49.994,2928.2391818041265,262.85280326709676,62.219481479317146,93.77399274546923,0
Trinidad and Tobago,TTO,174.864,218.75899125399977,356.234,165.777,2184.531568344316,188.04423849308597,44.511661541322574,72.48421951947374,33.73120678551478
Tunisia,TUN,213.166,227.36607491764042,326.823,188.461,2841.7207213803326,238.2026341621933,56.38457798572156,81.04898837606126,46.73659323555182
Turkey,TUR,93.486,337.7013303029997,449.753,168.544,4142.049923991165,352.2595654551551,83.38281820216332,111.04971822119128,41.615620682712056
Taiwan,TWN,3.555,-17.083524303379924,-7.361,-21.373,NA,-10.182861569745898,0,0,0
Tanzania,TZA,1.194,125.34515265,174.586,-43.868,4032.9843194980695,392.13815368810475,92.82241729009863,129.28707558371534,0
Uganda,UGA,6.937,129.81767200900003,162.08,-43.515,5987.90000041513,503.97640079282826,119.29547619577357,148.94299917936112,0
Ukraine,UKR,223.913,434.11921531176256,477.088,383.393,2637.0988659443724,252.52829623254306,59.77558334988864,65.69218264833036,52.79085779146156
Uruguay,URY,176.348,83.11158322731266,94.054,76.628,567.1210046217174,48.58187008279504,11.499739505442955,13.013729371213545,10.602632518990424
United States,USA,240.405,315.17870224814396,325.617,309.831,2044.8887448786347,182.07199593742843,43.09798122114682,44.52538573052822,42.36674737698638
Uzbekistan,UZB,4.249,147.33370459491675,180.572,109.196,3296.7935689173587,250.5660163224836,59.31109510017758,72.69166894630519,43.958117873603214
Saint Vincent and the Grenadines,VCT,69.202,128.32767065100012,292.444,51.771,1661.4146899404468,115.66779178854684,27.37954451879295,62.3949163276216,11.045680802206828
Venezuela,VEN,18.272,200.67455150799995,344.325,66.752,3034.08756437859,230.00559325874877,54.44426908150637,93.41740853405061,18.110187071622036
Vietnam,VNM,28.862,145.03212501599987,246.487,70.585,2028.4213288951028,150.82556266283754,35.701686213984196,60.676214229440795,17.375566407695565
Vanuatu,VUT,0.318,38.32506743700006,259.485,-37.856,872.2136421711438,90.01244646543259,21.30670731357221,144.26014645511373,0
Samoa,WSM,NA,247.91067595499996,298.488,-26.703,4422.238243935069,437.6865427471488,103.60410618307255,124.74072165666341,0
Yemen,YEM,6.468,272.5398423660007,424.012,80.539,9327.167774332673,783.6782263228879,185.5032637369049,288.60198776515097,54.81878362453007
South Africa,ZAF,150.182,400.82131250785335,405.237,384.893,7500.3988118984535,670.8586574438632,158.79791766821523,160.54730727468015,152.48722769660128
Zambia,ZMB,19.402,163.11982085600027,193.575,42.821,6577.4121312903335,586.737332148127,138.88568855671826,164.81600898053455,36.45913830712084
Zimbabwe,ZWE,31.407,260.86957824900026,320.977,90.035,9244.138137810072,727.7020459839073,172.25322846014555,211.94269366968615,59.45026883189096
