location,date,estimate,estimate_top_95,estimate_top_50,estimate_bot_50,estimate_bot_95,official_covid_deaths,known_excess_deaths
Europe,2020-03-09,-39359.921,-39349.663,-39351.763,-39359.921,-39378.027,528,FALSE
Asia,2020-03-09,-54353.198,-54353.198,-54353.198,-94682.269,-143914.631,3432,FALSE
Latin America and Caribbean,2020-03-09,-557.366,-130.843,-557.366,-858.314,-858.314,3,FALSE
North America,2020-03-09,-3575.909,-3575.909,-3575.909,-3575.909,-3575.909,23,FALSE
Oceania,2020-03-09,-812.813,-419.024,-603.651,-812.813,-901.415,3,FALSE
Africa,2020-03-09,11279.27,17509.807,17509.807,11279.27,-23131.601,1,FALSE
Europe,2020-03-16,-22954.776,-22943.193,-22946.602,-22954.776,-22976.382,2835,FALSE
Asia,2020-03-16,-60699.35,-60699.35,-60699.35,-106018.261,-161111.652,4211,FALSE
Latin America and Caribbean,2020-03-16,-807.407,-157.253,-807.407,-1154.544,-1154.544,13,FALSE
North America,2020-03-16,-2155.028,-2155.028,-2155.028,-2155.028,-2155.028,101,FALSE
Oceania,2020-03-16,-849.676,-405.8,-616.349,-849.676,-937.298,3,FALSE
Africa,2020-03-16,9539.778,18942.929,18942.929,9539.778,-30863.37,8,FALSE
Europe,2020-03-23,7856.718,7870.084,7864.304,7856.718,7832.966,10449,FALSE
Asia,2020-03-23,-65754.827,-65754.827,-65754.827,-111022.953,-171045.281,5432,FALSE
Latin America and Caribbean,2020-03-23,1555.429,2464.656,1555.429,1196.665,1196.665,123,FALSE
North America,2020-03-23,3918.054,3918.054,3918.054,3918.054,3918.054,819,FALSE
Oceania,2020-03-23,-822.067,-332.187,-585.843,-822.067,-919.572,7,FALSE
Africa,2020-03-23,7575.607,18012.967,18012.967,7575.607,-39819.793,55,FALSE
Europe,2020-03-30,50481.71,50495.107,50489.259,50481.71,50457.126,27962,FALSE
Asia,2020-03-30,-87084.157,-87084.157,-87084.157,-128309.4,-196263.81,6896,FALSE
Latin America and Caribbean,2020-03-30,7200.18,8286.18,7200.18,6731.358,6731.358,502,FALSE
North America,2020-03-30,19786.135,19786.135,19786.135,19786.135,19786.135,4397,FALSE
Oceania,2020-03-30,-690.02,-170.914,-455.35,-690.02,-729.187,18,FALSE
Africa,2020-03-30,4364.302,15781.718,15781.718,4364.302,-52406.287,172,FALSE
Europe,2020-04-06,92483.614,92496.758,92491.186,92483.614,92458.528,53833,FALSE
Asia,2020-04-06,-106066.497,-106066.497,-106066.497,-146371.719,-221869.08,8942,FALSE
Latin America and Caribbean,2020-04-06,13255.459,14491.621,13255.459,12669.139,12669.139,1610,FALSE
North America,2020-04-06,43229.616,43229.616,43229.616,43229.616,43229.616,15025,FALSE
Oceania,2020-04-06,-669.492,-133.177,-432.18,-669.492,-689.009,41,FALSE
Africa,2020-04-06,684.887,13264.375,13264.375,684.887,-64208.267,487,FALSE
Europe,2020-04-13,128088.288,128102.102,128096.743,128088.288,128063.063,81839,FALSE
Asia,2020-04-13,-124657.615,-124657.615,-124657.615,-168865.211,-247901.135,11358,FALSE
Latin America and Caribbean,2020-04-13,19368.667,20791.998,19368.667,18704.372,18704.372,3679,FALSE
North America,2020-04-13,65552.898,65552.898,65552.898,65552.898,65552.898,30882,FALSE
Oceania,2020-04-13,-803.805,-251.413,-572.139,-803.805,-911.602,66,FALSE
Africa,2020-04-13,-2034.604,10769.903,10769.903,-2034.604,-78978.144,833,FALSE
Europe,2020-04-20,153418.616,153432.107,153426.588,153418.616,153392.116,107146,FALSE
Asia,2020-04-20,-140318.096,-140318.096,-140318.096,-194341.843,-271205.858,15157,FALSE
